qa_variable,qa_rank,period_month,from_node_id,to_node_id,edge_type,lng_flow_cmb,voyage_count,route_count,share_global_monthly_lng,weight_row_normalized
voyage_count,4,2022-07,LNGN0328,CP006,terminal-chokepoint,8863963,44,22,0.3281782160285072,0.8995583681756354
voyage_count,5,2023-05,LNGN0328,CP006,terminal-chokepoint,9020668,44,27,0.2584457587020222,0.8983277801136111
voyage_count,6,2022-11,LNGN0328,CP006,terminal-chokepoint,8415582,43,21,0.2932232687983621,0.9595365810136636
voyage_count,7,2023-06,LNGN0328,CP006,terminal-chokepoint,8085148,42,21,0.2621182148691997,0.888066363979062
voyage_count,8,2023-12,LNGN0328,CP006,terminal-chokepoint,8254004,41,20,0.2129055634280936,0.913657524044656
voyage_count,9,2023-04,LNGN0328,CP006,terminal-chokepoint,8186525,40,22,0.2428749146239356,0.883957035921274
voyage_count,10,2024-01,LNGN0328,CP006,terminal-chokepoint,8635615,40,22,0.2447421385198533,0.9109105387111518
voyage_count,11,2023-11,LNGN0328,CP006,terminal-chokepoint,8027844,39,20,0.2393640806465102,0.9503709217782652
voyage_count,12,2024-04,LNGN0328,CP006,terminal-chokepoint,7586641,39,19,0.2383137269893627,0.9208048508940434
voyage_count,13,2023-02,LNGN0328,CP006,terminal-chokepoint,7917147,39,25,0.2463487802694626,0.8685545959858976
voyage_count,14,2023-08,LNGN0328,CP006,terminal-chokepoint,7158895,37,17,0.2507288632800881,0.7722126855295425
voyage_count,15,2022-10,LNGN0328,CP006,terminal-chokepoint,7600062,37,21,0.2678098247206044,0.9552902663503507
voyage_count,16,2022-08,LNGN0328,CP006,terminal-chokepoint,7454133,37,19,0.279714186284523,0.9268778080016952
voyage_count,17,2022-06,LNGN0328,CP006,terminal-chokepoint,7338766,37,20,0.2829256501348363,0.9519903446239694
voyage_count,18,2023-09,LNGN0328,CP006,terminal-chokepoint,7367966,36,22,0.2373083721221154,0.8842712997191874
voyage_count,19,2023-10,LNGN0328,CP006,terminal-chokepoint,7003751,36,22,0.1856161848226235,0.6418038849209488
voyage_count,20,2022-05,LNGN0328,CP006,terminal-chokepoint,7372609,35,17,0.2619750405171412,0.8942813177599885
route_count,1,2023-05,LNGN0328,CP006,terminal-chokepoint,9020668,44,27,0.2584457587020222,0.8983277801136111
route_count,2,2023-02,LNGN0328,CP006,terminal-chokepoint,7917147,39,25,0.2463487802694626,0.8685545959858976
route_count,3,2023-03,LNGN0328,CP006,terminal-chokepoint,8835344,45,23,0.2448312550689319,0.958332646383273
route_count,4,2023-10,LNGN0328,CP006,terminal-chokepoint,7003751,36,22,0.1856161848226235,0.6418038849209488
route_count,5,2024-01,LNGN0328,CP006,terminal-chokepoint,8635615,40,22,0.2447421385198533,0.9109105387111518
route_count,6,2023-09,LNGN0328,CP006,terminal-chokepoint,7367966,36,22,0.2373083721221154,0.8842712997191874
route_count,7,2022-07,LNGN0328,CP006,terminal-chokepoint,8863963,44,22,0.3281782160285072,0.8995583681756354
route_count,8,2023-04,LNGN0328,CP006,terminal-chokepoint,8186525,40,22,0.2428749146239356,0.883957035921274
route_count,9,2021-09,LNGN0328,CP006,terminal-chokepoint,6891783,31,21,0.302870349434704,0.8172181620241751
route_count,10,2023-01,LNGN0328,CP006,terminal-chokepoint,9075161,45,21,0.3210390358146563,1.0
route_count,11,2023-06,LNGN0328,CP006,terminal-chokepoint,8085148,42,21,0.2621182148691997,0.888066363979062
route_count,12,2022-10,LNGN0328,CP006,terminal-chokepoint,7600062,37,21,0.2678098247206044,0.9552902663503507
route_count,13,2022-11,LNGN0328,CP006,terminal-chokepoint,8415582,43,21,0.2932232687983621,0.9595365810136636
route_count,14,2023-12,LNGN0328,CP006,terminal-chokepoint,8254004,41,20,0.2129055634280936,0.913657524044656
route_count,15,2021-07,LNGN0328,CP006,terminal-chokepoint,6148168,29,20,0.2852506567011681,0.904492444722722
route_count,16,2022-06,LNGN0328,CP006,terminal-chokepoint,7338766,37,20,0.2829256501348363,0.9519903446239694
route_count,17,2022-04,LNGN0328,CP006,terminal-chokepoint,9220003,45,20,0.3197882253458793,0.9771089517457764
route_count,18,2023-11,LNGN0328,CP006,terminal-chokepoint,8027844,39,20,0.2393640806465102,0.9503709217782652
route_count,19,2020-12,CP002,CP022,chokepoint-chokepoint,3737700,22,19,0.2428147726124789,0.8822821263336795
route_count,20,2022-08,LNGN0328,CP006,terminal-chokepoint,7454133,37,19,0.279714186284523,0.9268778080016952
