period_month,chokepoint_id,outgoing_cp_flow,incoming_cp_flow,chokepoint_throughput,flow_imbalance
2020-06-01,CP017,591615,591615,591615.0,0
2020-06-01,CP018,167000,167000,167000.0,0
2020-06-01,CP019,679190,679190,679190.0,0
2020-06-01,CP020,481615,481615,481615.0,0
2020-06-01,CP022,859894,859894,859894.0,0
2020-07-01,CP001,2819255,2819255,2819255.0,0
2020-07-01,CP002,698000,698000,698000.0,0
2020-07-01,CP004,2819255,2819255,2819255.0,0
2020-07-01,CP005,2712450,2712450,2712450.0,0
2020-07-01,CP006,5632265,5632265,5632265.0,0
2020-07-01,CP008,2606808,2606808,2606808.0,0
2020-07-01,CP009,1353308,1353308,1353308.0,0
2020-07-01,CP010,530188,530188,530188.0,0
2020-07-01,CP011,1761098,1761098,1761098.0,0
2020-07-01,CP013,348000,348000,348000.0,0
2020-07-01,CP014,355852,355852,355852.0,0
2020-07-01,CP015,474648,474648,474648.0,0
2020-07-01,CP016,1088996,1088996,1088996.0,0
2020-07-01,CP017,588000,588000,588000.0,0
2020-07-01,CP020,319700,319700,319700.0,0
2020-07-01,CP022,528000,528000,528000.0,0
2020-07-01,CP024,159274,159274,159274.0,0
2020-08-01,CP001,2885510,2885510,2885510.0,0
2020-08-01,CP002,695000,695000,695000.0,0
2020-08-01,CP004,2885510,2885510,2885510.0,0
2020-08-01,CP005,3002523,3002523,3002523.0,0
2020-08-01,CP006,5841410,5841410,5841410.0,0
2020-08-01,CP007,145952,145952,145952.0,0
2020-08-01,CP008,2291918,2291918,2291918.0,0
2020-08-01,CP009,1242948,1242948,1242948.0,0
2020-08-01,CP010,889700,889700,889700.0,0
2020-08-01,CP011,1710650,1710650,1710650.0,0
2020-08-01,CP013,174000,174000,174000.0,0
2020-08-01,CP014,427168,427168,427168.0,0
2020-08-01,CP015,955097,955097,955097.0,0
2020-08-01,CP016,993285,993285,993285.0,0
2020-08-01,CP017,167000,167000,167000.0,0
2020-08-01,CP020,955097,955097,955097.0,0
2020-08-01,CP021,172000,172000,172000.0,0
2020-08-01,CP022,521000,521000,521000.0,0
2020-08-01,CP023,174000,174000,174000.0,0
2020-09-01,CP001,3041820,3041820,3041820.0,0
2020-09-01,CP002,1475122,1475122,1475122.0,0
2020-09-01,CP004,3041820,3041820,3041820.0,0
2020-09-01,CP005,3197198,3197198,3197198.0,0
2020-09-01,CP006,4404652,4404652,4404652.0,0
2020-09-01,CP007,340000,340000,340000.0,0
2020-09-01,CP008,3540520,3540520,3540520.0,0
2020-09-01,CP009,760300,760300,760300.0,0
2020-09-01,CP010,374428,374428,374428.0,0
2020-09-01,CP011,2032498,2032498,2032498.0,0
2020-09-01,CP013,1141122,1141122,1141122.0,0
2020-09-01,CP014,1342700,1342700,1342700.0,0
2020-09-01,CP015,486000,486000,486000.0,0
2020-09-01,CP016,984618,984618,984618.0,0
2020-09-01,CP017,872048,872048,872048.0,0
2020-09-01,CP019,340000,340000,340000.0,0
2020-09-01,CP020,486000,486000,486000.0,0
2020-09-01,CP022,1475122,1475122,1475122.0,0
2020-10-01,CP001,1292822,1292822,1292822.0,0
2020-10-01,CP002,2272672,2272672,2272672.0,0
2020-10-01,CP004,1292822,1292822,1292822.0,0
2020-10-01,CP005,2970163,2970163,2970163.0,0
2020-10-01,CP006,3833257,3833257,3833257.0,0
2020-10-01,CP007,311300,311300,311300.0,0
2020-10-01,CP008,2027322,2027322,2027322.0,0
2020-10-01,CP009,1676038,1676038,1676038.0,0
2020-10-01,CP010,752296,752296,752296.0,0
2020-10-01,CP011,3299431,3299431,3299431.0,0
2020-10-01,CP013,1182000,1182000,1182000.0,0
2020-10-01,CP014,217000,217000,217000.0,0
2020-10-01,CP015,522000,522000,522000.0,0
2020-10-01,CP016,1021925,1021925,1021925.0,0
2020-10-01,CP017,1350852,1350852,1350852.0,0
2020-10-01,CP019,137300,137300,137300.0,0
2020-10-01,CP020,522000,522000,522000.0,0
2020-10-01,CP022,2447672,2447672,2447672.0,0
2020-11-01,CP001,1242474,1242474,1242474.0,0
2020-11-01,CP002,2697366,2697366,2697366.0,0
2020-11-01,CP004,1242474,1242474,1242474.0,0
2020-11-01,CP005,2091200,2091200,2091200.0,0
2020-11-01,CP006,2681890,2681890,2681890.0,0
2020-11-01,CP007,659700,659700,659700.0,0
2020-11-01,CP008,1164874,1164874,1164874.0,0
2020-11-01,CP009,1361400,1361400,1361400.0,0
2020-11-01,CP010,214369,214369,214369.0,0
2020-11-01,CP011,2765900,2765900,2765900.0,0
2020-11-01,CP013,1357212,1357212,1357212.0,0
2020-11-01,CP014,431300,431300,431300.0,0
2020-11-01,CP015,1010615,1010615,1010615.0,0
2020-11-01,CP016,1682705,1682705,1682705.0,0
2020-11-01,CP017,1529400,1529400,1529400.0,0
2020-11-01,CP019,510000,510000,510000.0,0
2020-11-01,CP020,1010615,1010615,1010615.0,0
2020-11-01,CP022,2697366,2697366,2697366.0,0
2020-11-01,CP024,159800,159800,159800.0,0
2020-12-01,CP001,657874,657874,657874.0,0
2020-12-01,CP002,4236400,4236400,4236400.0,0
2020-12-01,CP004,657874,657874,657874.0,0
2020-12-01,CP005,599352,599352,599352.0,0
2020-12-01,CP006,572054,572054,572054.0,0
2020-12-01,CP007,978190,978190,978190.0,0
2020-12-01,CP008,961572,961572,961572.0,0
2020-12-01,CP009,693000,693000,693000.0,0
2020-12-01,CP010,368567,368567,368567.0,0
2020-12-01,CP011,1322000,1322000,1322000.0,0
2020-12-01,CP013,2366900,2366900,2366900.0,0
2020-12-01,CP014,562390,562390,562390.0,0
2020-12-01,CP015,668482,668482,668482.0,0
2020-12-01,CP016,1326951,1326951,1326951.0,0
2020-12-01,CP017,644000,644000,644000.0,0
2020-12-01,CP018,138000,138000,138000.0,0
2020-12-01,CP019,978190,978190,978190.0,0
2020-12-01,CP020,668482,668482,668482.0,0
2020-12-01,CP022,3912700,3912700,3912700.0,0
2021-01-01,CP001,325900,325900,325900.0,0
2021-01-01,CP002,3527861,3527861,3527861.0,0
2021-01-01,CP004,325900,325900,325900.0,0
2021-01-01,CP005,1796520,1796520,1796520.0,0
2021-01-01,CP006,2373420,2373420,2373420.0,0
2021-01-01,CP007,1233598,1233598,1233598.0,0
2021-01-01,CP008,1928590,1928590,1928590.0,0
2021-01-01,CP009,520400,520400,520400.0,0
2021-01-01,CP011,2274250,2274250,2274250.0,0
2021-01-01,CP013,2176288,2176288,2176288.0,0
2021-01-01,CP014,742500,742500,742500.0,0
2021-01-01,CP015,682400,682400,682400.0,0
2021-01-01,CP016,878925,878925,878925.0,0
2021-01-01,CP017,922717,922717,922717.0,0
2021-01-01,CP019,1233598,1233598,1233598.0,0
2021-01-01,CP020,682400,682400,682400.0,0
2021-01-01,CP022,3527861,3527861,3527861.0,0
2021-02-01,CP001,1872719,1872719,1872719.0,0
2021-02-01,CP002,1348282,1348282,1348282.0,0
2021-02-01,CP004,1872719,1872719,1872719.0,0
2021-02-01,CP005,1981552,1981552,1981552.0,0
2021-02-01,CP006,4802371,4802371,4802371.0,0
2021-02-01,CP007,170000,170000,170000.0,0
2021-02-01,CP008,2457133,2457133,2457133.0,0
2021-02-01,CP009,2289302,2289302,2289302.0,0
2021-02-01,CP010,196000,196000,196000.0,0
2021-02-01,CP011,719764,719764,719764.0,0
2021-02-01,CP013,668800,668800,668800.0,0
2021-02-01,CP014,779200,779200,779200.0,0
2021-02-01,CP015,159764,159764,159764.0,0
2021-02-01,CP016,865977,865977,865977.0,0
2021-02-01,CP017,159800,159800,159800.0,0
2021-02-01,CP019,170000,170000,170000.0,0
