from_node_id,to_node_id,lng_flow_cmb,flow_share,cumulative_flow_share
LNGN0309,CP005,1216000,0.00030946538208156634,0.9688924901667224
CP014,LNGN0429,1202925,0.0003061378657405166,0.9691986280324629
LNGN0322,LNGN0460,1199900,0.00030536801970367715,0.9695039960521666
CP023,CP002,1196000,0.000304375490928909,0.9698083715430955
CP002,CP024,1191040,0.00030311319792304995,0.9701114847410186
LNGN0083,LNGN0056,1189800,0.00030279762467158523,0.9704142823656902
CP011,LNGN0150,1181400,0.0003006598703874691,0.9707149422360777
CP027,LNGN0163,1172409,0.000298371709819792,0.9710133139458975
CP004,LNGN0251,1168062,0.00029726542197776193,0.9713105793678752
LNGN0261,LNGN0385,1161252,0.0002955323140402821,0.9716061116819156
CP013,LNGN0460,1160080,0.0002952340464187364,0.9719013457283343
CP027,LNGN0175,1156948,0.0002944369694642303,0.9721957826977985
CP005,LNGN0150,1156880,0.0002944196638343112,0.9724902023616329
LNGN0312,CP008,1128630,0.00028723019258118274,0.972777432554214
LNGN0085,LNGN0008,1110374,0.0002825841399370371,0.9730600166941511
CP006,LNGN0191,1106348,0.00028155954484800717,0.9733415762389991
CP006,LNGN0079,1101253,0.00028026289507686775,0.973621839134076
CP011,LNGN0447,1093673,0.0002783338263300106,0.973900172960406
LNGN0124,LNGN0442,1049400,0.0002670665887799307,0.9741672395491859
LNGN0274,LNGN0168,1041400,0.00026503063231886776,0.9744322701815048
LNGN0124,LNGN0037,1041100,0.0002649542839515779,0.9746972244654564
LNGN0070,LNGN0037,1040700,0.00026485248612852474,0.9749620769515849
LNGN0423,CP005,1040198,0.000264724729860593,0.9752268016814455
LNGN0423,LNGN0230,1040000,0.0002646743399381817,0.9754914760213836
LNGN0027,LNGN0272,1036735,0.0002638434152075104,0.9757553194365911
LNGN0274,LNGN0208,1035400,0.00026350366497307053,0.9760188231015642
CP016,LNGN0181,1033400,0.0002629946758578048,0.976281817777422
LNGN0345,LNGN0076,1026835,0.00026132391908694505,0.9765431416965089
LNGN0322,LNGN0270,1022673,0.000260264712738077,0.976803406409247
CP024,LNGN0362,1006800,0.00025622512062477054,0.9770596315298717
CP011,LNGN0473,1006000,0.00025602152497866427,0.9773156530548504
LNGN0027,LNGN0374,997100,0.0002537565234157317,0.9775694095782661
LNGN0312,CP009,985315,0.00025075730505402837,0.9778201668833202
CP004,LNGN0130,977946,0.0002488819346588318,0.9780690488179791
CP006,LNGN0108,907100,0.00023085201322877369,0.9782999008312079
LNGN0261,LNGN0248,886400,0.00022558397588577335,0.9785254848070937
LNGN0166,LNGN0464,864000,0.00021988329779479713,0.9787453681048884
LNGN0083,LNGN0035,861200,0.0002191707130334251,0.9789645388179219
LNGN0027,LNGN0385,858000,0.00021835633044899993,0.9791828951483709
LNGN0322,LNGN0314,857000,0.00021810183589136706,0.9794009969842622
CP012,CP011,855000,0.00021759284677610132,0.9796185898310383
LNGN0050,LNGN0037,851474,0.00021669549896588782,0.9798352853300042
LNGN0103,LNGN0385,850000,0.000216320373987937,0.9800516057039921
LNGN0083,LNGN0186,849000,0.00021606587943030412,0.9802676715834224
CP016,LNGN0314,847800,0.00021576048596114468,0.9804834320693836
CP004,LNGN0208,844723,0.00021497740620730833,0.980698409475591
CP008,LNGN0374,836920,0.00021299158517409909,0.980911401060765
LNGN0378,LNGN0035,831200,0.0002115358763044391,0.9811229369370694
LNGN0312,LNGN0037,826313,0.00021029216140128727,0.9813332290984708
CP008,LNGN0178,826256,0.0002102776552115022,0.9815435067536823
LNGN0052,CP008,823000,0.00020944902093184958,0.9817529557746142
CP009,LNGN0442,821617,0.00020909705495864332,0.9819620528295728
CP022,LNGN0272,816397,0.00020776859336779977,0.9821698214229406
LNGN0423,LNGN0285,813490,0.00020702877768876102,0.9823768502006294
LNGN0435,LNGN0044,799504,0.00020346941680570775,0.9825803196174351
CP016,LNGN0372,793097,0.00020183887017495396,0.9827821584876101
CP011,LNGN0059,783800,0.0001994728342726412,0.9829816313218828
CP013,LNGN0270,720000,0.00018323608149566428,0.9831648674033784
CP016,LNGN0143,696000,0.00017712821211247545,0.9833419956154908
CP022,LNGN0307,696000,0.00017712821211247545,0.9835191238276033
CP002,LNGN0170,689082,0.00017536761876277128,0.9836944914463661
LNGN0322,CP017,689000,0.00017534675020904538,0.9838698381965751
CP010,LNGN0132,688907,0.00017532308221518555,0.9840451612787904
LNGN0050,LNGN0076,687686,0.0001750123443603158,0.9842201736231507
LNGN0103,LNGN0100,681520,0.00017344313091795154,0.9843936167540687
LNGN0308,LNGN0182,680800,0.00017325989483645587,0.9845668766489051
LNGN0378,LNGN0331,679500,0.00017292905191153315,0.9847398057008167
LNGN0027,LNGN0055,678900,0.00017277635517695344,0.9849125820559936
CP013,LNGN0381,677540,0.00017243024257857274,0.9850850122985723
CP024,LNGN0385,674520,0.00017166166901452147,0.9852566739675868
LNGN0142,LNGN0168,670015,0.0001705151710323854,0.9854271891386192
CP007,LNGN0079,668600,0.0001701550612333349,0.9855973441998525
LNGN0083,LNGN0428,666548,0.00016963283840107227,0.9857669770382536
LNGN0083,LNGN0121,658874,0.00016767984716579764,0.9859346568854194
CP002,LNGN0372,650000,0.00016542146246136357,0.9861000783478807
CP014,LNGN0382,649400,0.00016526876572678386,0.9862653471136075
