,lng_flow_cmb
count,7984.0
mean,473964.87412324647
std,749087.0580446349
min,18000.0
1%,22969.0
5%,127544.0
25%,167158.0
50%,215100.0
75%,504551.0
95%,1468132.4499999983
99%,4043598.1200000066
max,9220003.0
