variable,n,mean,median,min,max,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_share
lng_flow_cmb,8187,479950.78930010996,216200.0,18000.0,9220003.0,170000.0,511137.0,341137.0,-341705.5,1022842.5,766,0.09356296567729327
voyage_count,8187,2.733846341761329,1.0,1.0,45.0,1.0,3.0,2.0,-2.0,6.0,626,0.07646268474410652
route_count,8187,2.01123732747038,1.0,1.0,27.0,1.0,2.0,1.0,-0.5,3.5,1007,0.12299987785513619
share_global_monthly_lng,8187,0.02017094923360938,0.0105899624473702,0.0004642958910252,0.4347119859713473,0.0061918640003131,0.021269845017033752,0.015077981016720652,-0.016425107524767876,0.04388681654211473,717,0.08757786735067791
weight_row_normalized,8187,0.3124465616220838,0.2056061468412066,0.0105997678415292,1.0,0.09534791242388646,0.44322439228115923,0.34787647985727277,-0.42646680736202264,0.9650391120670683,709,0.08660070844021009
