,missing_count,missing_share
edge_period_id,0,0.0
period_month,0,0.0
year,0,0.0
month,0,0.0
from_node_id,0,0.0
to_node_id,0,0.0
edge_type,0,0.0
route_count,0,0.0
voyage_count,0,0.0
lng_flow_cmb,0,0.0
qa_watch_routes,0,0.0
route_ids,0,0.0
share_global_monthly_lng,0,0.0
weight_row_normalized,0,0.0
