from_node_id,to_node_id,cumulative_edge_flow,mean_monthly_edge_flow,active_months,cumulative_voyage_traversals
CP022,LNGN0381,6511324,260452.96,25,38
LNGN0027,CP002,6489908,259596.32,25,39
CP022,LNGN0426,6465060,230895.0,28,38
CP008,LNGN0331,6446544,257861.76,25,39
LNGN0070,LNGN0385,6384970,319248.5,20,37
LNGN0070,CP011,6320563,217950.44827586206,29,38
CP011,LNGN0472,6284970,209499.0,30,37
CP005,LNGN0463,6257556,223484.14285714287,28,38
CP022,LNGN0463,6223581,222270.75,28,36
LNGN0027,CP008,6204522,221590.07142857142,28,38
LNGN0070,CP013,6119163,266050.5652173913,23,36
LNGN0166,CP009,6107865,203595.5,30,41
CP002,LNGN0324,5991661,230448.5,26,35
CP001,LNGN0035,5972893,229726.65384615384,26,36
CP016,LNGN0359,5896243,203318.72413793104,29,41
CP004,CP006,5821463,277212.5238095238,21,34
CP005,LNGN0238,5684743,355296.4375,16,29
CP008,LNGN0428,5657436,245975.47826086957,23,34
LNGN0452,LNGN0144,5301000,353400.0,15,31
LNGN0070,LNGN0178,5213000,217208.33333333334,24,30
LNGN0312,CP007,5209227,217051.125,24,32
CP007,LNGN0168,5116003,232545.5909090909,22,32
LNGN0261,LNGN0244,5012750,250637.5,20,34
CP004,LNGN0168,5007405,200296.2,25,30
CP002,LNGN0237,4936864,197474.56,25,29
LNGN0261,CP009,4935689,235032.80952380953,21,30
CP007,CP006,4800748,218215.81818181818,22,32
LNGN0274,CP005,4788242,239412.1,20,29
CP011,LNGN0363,4770395,265021.94444444444,18,25
CP022,LNGN0421,4758347,237917.35,20,28
LNGN0166,LNGN0132,4746578,182560.6923076923,26,33
LNGN0206,CP006,4661331,310755.4,15,27
CP022,LNGN0270,4652482,202281.8260869565,23,27
LNGN0322,CP018,4460990,193956.08695652173,23,27
LNGN0027,CP009,4434838,211182.7619047619,21,27
CP019,CP014,4336977,228261.94736842104,19,27
CP022,LNGN0460,4314190,227062.63157894736,19,25
LNGN0322,LNGN0363,4175000,198809.52380952382,21,25
CP005,LNGN0025,4057102,270473.4666666667,15,24
CP022,LNGN0230,4003872,210730.1052631579,19,23
CP022,LNGN0398,3851340,192567.0,20,25
LNGN0345,LNGN0244,3825118,212506.55555555556,18,22
CP015,CP005,3812048,254136.53333333333,15,23
LNGN0452,LNGN0374,3766400,188320.0,20,22
LNGN0345,CP002,3758648,221096.9411764706,17,22
LNGN0070,CP010,3750527,220619.23529411765,17,22
LNGN0026,CP001,3714101,247606.73333333334,15,22
LNGN0345,LNGN0374,3705260,176440.95238095237,21,23
LNGN0378,LNGN0278,3548500,136480.76923076922,26,47
LNGN0070,CP002,3541517,208324.5294117647,17,21
CP019,LNGN0230,3537408,221088.0,16,23
CP005,LNGN0175,3520575,234705.0,15,16
CP014,LNGN0460,3494940,205584.70588235295,17,19
CP014,LNGN0173,3466940,231129.33333333334,15,18
LNGN0050,LNGN0385,3436875,214804.6875,16,20
CP016,LNGN0170,3387689,199275.82352941178,17,21
LNGN0050,CP022,3206391,200399.4375,16,19
CP019,LNGN0463,3176627,186860.41176470587,17,21
CP011,LNGN0081,3176535,198533.4375,16,17
CP018,LNGN0463,3173000,186647.0588235294,17,19
CP016,LNGN0453,3159086,157954.3,20,22
CP020,LNGN0426,3088400,205893.33333333334,15,18
LNGN0085,LNGN0191,2991040,186940.0,16,22
LNGN0124,CP022,2931769,183235.5625,16,17
LNGN0070,CP022,2926885,209063.2142857143,14,17
LNGN0308,CP010,2926800,225138.46153846153,13,18
LNGN0052,CP007,2918200,171658.82352941178,17,18
LNGN0050,CP011,2891002,222384.76923076922,13,17
CP001,LNGN0186,2808740,200624.2857142857,14,14
LNGN0103,CP009,2800008,186667.2,15,17
CP001,LNGN0136,2794287,349285.875,8,13
LNGN0423,CP011,2770660,197904.2857142857,14,27
LNGN0026,LNGN0056,2750730,229227.5,12,17
LNGN0452,LNGN0178,2730873,195062.35714285713,14,16
LNGN0050,CP010,2717210,209016.15384615384,13,16
LNGN0345,LNGN0178,2711155,193653.92857142858,14,17
CP014,LNGN0170,2689972,244542.9090909091,11,15
LNGN0435,CP010,2634287,54880.979166666664,48,106
CP019,LNGN0195,2581167,198551.3076923077,13,16
LNGN0351,CP013,2557620,182687.14285714287,14,18
LNGN0050,LNGN0244,2506753,179053.7857142857,14,15
LNGN0166,CP008,2413467,185651.3076923077,13,16
CP007,LNGN0130,2396530,159768.66666666666,15,16
LNGN0452,LNGN0385,2393835,199486.25,12,14
LNGN0083,CP001,2387400,183646.15384615384,13,14
LNGN0124,LNGN0385,2372276,197689.66666666666,12,14
CP006,LNGN0251,2354363,214033.0,11,13
LNGN0142,LNGN0405,2337407,194783.91666666666,12,15
LNGN0345,LNGN0037,2315068,192922.33333333334,12,14
CP010,CP009,2306800,209709.0909090909,11,14
CP004,LNGN0079,2248418,187368.16666666666,12,13
CP004,LNGN0108,2238400,172184.61538461538,13,14
CP008,LNGN0098,2207203,200654.81818181818,11,13
LNGN0124,CP010,2206597,200599.72727272726,11,13
LNGN0027,LNGN0287,2202828,137676.75,16,16
LNGN0322,LNGN0173,2175000,181250.0,12,13
LNGN0026,LNGN0098,2156406,154029.0,14,14
CP002,LNGN0074,2152819,179401.58333333334,12,13
LNGN0103,CP008,2136836,164372.0,13,13
CP009,CP008,2136600,213660.0,10,13
LNGN0423,CP014,2106190,175515.83333333334,12,13
CP001,LNGN0232,2082792,347132.0,6,10
CP016,LNGN0199,2080364,160028.0,13,15
LNGN0166,LNGN0144,2074063,159543.3076923077,13,14
LNGN0027,LNGN0112,2055933,137062.2,15,15
LNGN0083,CP008,2049412,186310.18181818182,11,12
LNGN0083,LNGN0232,2046400,227377.77777777778,9,12
LNGN0052,CP009,2040000,226666.66666666666,9,12
CP005,LNGN0285,2015790,223976.66666666666,9,14
LNGN0322,LNGN0359,2008000,182545.45454545456,11,12
CP008,LNGN0210,1968899,164074.91666666666,12,12
CP010,LNGN0182,1957302,177936.54545454544,11,15
LNGN0039,CP020,1935822,175983.81818181818,11,14
LNGN0124,CP011,1934482,214942.44444444444,9,11
CP022,LNGN0449,1908417,212046.33333333334,9,11
CP016,LNGN0164,1901423,158451.91666666666,12,12
LNGN0274,CP004,1896900,210766.66666666666,9,11
LNGN0345,LNGN0248,1893240,157770.0,12,12
LNGN0345,CP024,1888000,209777.77777777778,9,11
CP001,LNGN0056,1887345,188734.5,10,10
LNGN0261,LNGN0037,1879886,187988.6,10,12
CP008,LNGN0294,1879799,208866.55555555556,9,11
LNGN0297,LNGN0405,1865022,186502.2,10,12
CP022,LNGN0195,1864506,233063.25,8,11
CP016,LNGN0463,1862615,232826.875,8,11
CP022,LNGN0359,1848813,184881.3,10,11
CP002,LNGN0291,1845580,167780.0,11,11
LNGN0026,LNGN0035,1830616,183061.6,10,12
CP016,LNGN0241,1808862,139143.23076923078,13,13
CP014,LNGN0359,1751528,194614.22222222222,9,9
CP022,LNGN0354,1746500,218312.5,8,10
CP014,LNGN0372,1745804,193978.22222222222,9,9
CP010,LNGN0464,1726783,59544.24137931035,29,60
CP022,LNGN0363,1724608,191623.11111111112,9,10
CP022,LNGN0472,1669600,185511.11111111112,9,10
CP001,LNGN0331,1657292,236756.0,7,8
LNGN0070,LNGN0102,1614000,201750.0,8,9
LNGN0070,LNGN0244,1561000,173444.44444444444,9,9
LNGN0345,LNGN0442,1538000,256333.33333333334,6,9
CP022,LNGN0437,1537471,219638.7142857143,7,9
LNGN0026,LNGN0347,1535419,170602.11111111112,9,10
CP021,LNGN0324,1517158,189644.75,8,9
CP019,LNGN0473,1510000,167777.77777777778,9,9
CP022,LNGN0156,1504925,188115.625,8,9
CP010,LNGN0250,1499588,166620.88888888888,9,9
CP005,LNGN0163,1490481,212925.85714285713,7,9
CP022,LNGN0173,1487215,185901.875,8,9
CP022,LNGN0258,1458420,162046.66666666666,9,9
CP015,LNGN0285,1445080,206440.0,7,9
CP020,LNGN0156,1423178,177897.25,8,9
CP016,LNGN0425,1405368,140536.8,10,10
CP022,LNGN0055,1398400,199771.42857142858,7,8
LNGN0288,CP002,1364713,227452.16666666666,6,8
LNGN0322,LNGN0381,1363000,170375.0,8,8
LNGN0378,LNGN0347,1359000,97071.42857142857,14,18
LNGN0101,CP001,1343833,191976.14285714287,7,8
LNGN0312,CP021,1343158,191879.7142857143,7,8
CP016,LNGN0426,1326521,165815.125,8,8
CP020,LNGN0473,1321840,188834.2857142857,7,8
CP005,LNGN0059,1309243,163655.375,8,8
CP015,LNGN0150,1295912,161989.0,8,8
LNGN0435,LNGN0427,1292907,26935.5625,48,71
LNGN0026,LNGN0278,1283500,142611.11111111112,9,17
LNGN0351,CP017,1282620,142513.33333333334,9,9
LNGN0027,LNGN0348,1269957,253991.4,5,8
CP007,LNGN0251,1245287,155660.875,8,8
CP020,LNGN0268,1244457,155557.125,8,9
CP008,LNGN0244,1228408,175486.85714285713,7,7
CP016,LNGN0429,1227489,153436.125,8,8
CP001,LNGN0347,1220268,203378.0,6,6
LNGN0309,CP005,1216000,243200.0,5,7
LNGN0083,LNGN0136,1203274,601637.0,2,7
CP014,LNGN0429,1202925,200487.5,6,7
