metric,previous_month,current_month,spearman_month_to_month
total_voyages,2023-02-01,2023-03-01,0.8100109296812358
total_voyages,2023-03-01,2023-04-01,0.8080265745479274
total_voyages,2023-04-01,2023-05-01,0.7963888009279929
total_voyages,2023-05-01,2023-06-01,0.846892745994811
total_voyages,2023-06-01,2023-07-01,0.7815184746261774
total_voyages,2023-07-01,2023-08-01,0.7922630028167619
total_voyages,2023-08-01,2023-09-01,0.8102087232727825
total_voyages,2023-09-01,2023-10-01,0.8285900082861873
total_voyages,2023-10-01,2023-11-01,0.8158400046626433
total_voyages,2023-11-01,2023-12-01,0.8222277775269459
total_voyages,2023-12-01,2024-01-01,0.8015627993735482
total_voyages,2024-01-01,2024-02-01,0.7978418441124012
total_voyages,2024-02-01,2024-03-01,0.829285116950029
total_voyages,2024-03-01,2024-04-01,0.8149617242110464
total_voyages,2024-04-01,2024-05-01,0.7225260002829639
total_voyages,2024-05-01,2024-06-01,0.7062195646020829
total_voyages,2024-06-01,2024-07-01,0.7069214820195882
total_voyages,2024-07-01,2024-08-01,0.7428764165872274
total_voyages,2024-08-01,2024-09-01,0.7077335196508142
total_voyages,2024-09-01,2024-10-01,0.7615703338818656
total_voyages,2024-10-01,2024-11-01,0.7036697327244389
total_voyages,2024-11-01,2024-12-01,0.7166119670089738
total_route_exposure,2020-01-01,2020-02-01,0.8467139718779361
total_route_exposure,2020-02-01,2020-03-01,0.8281419303772409
total_route_exposure,2020-03-01,2020-04-01,0.7828298212821949
total_route_exposure,2020-04-01,2020-05-01,0.7694858199237065
total_route_exposure,2020-05-01,2020-06-01,0.7262499659883209
total_route_exposure,2020-06-01,2020-07-01,0.7157537246083081
total_route_exposure,2020-07-01,2020-08-01,0.737431138645882
total_route_exposure,2020-08-01,2020-09-01,0.7386378526927637
total_route_exposure,2020-09-01,2020-10-01,0.8049597394308574
total_route_exposure,2020-10-01,2020-11-01,0.8033573586870589
total_route_exposure,2020-11-01,2020-12-01,0.7442012708539011
total_route_exposure,2020-12-01,2021-01-01,0.7705592720464799
total_route_exposure,2021-01-01,2021-02-01,0.7004134960695676
total_route_exposure,2021-02-01,2021-03-01,0.7992230423885337
total_route_exposure,2021-03-01,2021-04-01,0.8215647351541747
total_route_exposure,2021-04-01,2021-05-01,0.8116777160541805
total_route_exposure,2021-05-01,2021-06-01,0.78967000795052
total_route_exposure,2021-06-01,2021-07-01,0.8139872686613449
total_route_exposure,2021-07-01,2021-08-01,0.7977646955204736
total_route_exposure,2021-08-01,2021-09-01,0.7882195452363299
total_route_exposure,2021-09-01,2021-10-01,0.8748961600825674
total_route_exposure,2021-10-01,2021-11-01,0.839409669958376
total_route_exposure,2021-11-01,2021-12-01,0.8027870129226431
total_route_exposure,2021-12-01,2022-01-01,0.7813244471942851
