infrastructure_type,terminal_count,total_capacity_mtpa,mean_capacity_mtpa,median_capacity_mtpa,min_capacity_mtpa,max_capacity_mtpa
export,36,305.84,8.495555555555555,6.6,0.06,29.5
import,123,771.31,6.270813008130081,5.0,0.1,54.5
