metric,previous_month,current_month,spearman_month_to_month
total_voyages,2023-02-01,2023-03-01,0.8131240314103424
total_voyages,2023-03-01,2023-04-01,0.8099982219450836
total_voyages,2023-04-01,2023-05-01,0.7979830120567886
total_voyages,2023-05-01,2023-06-01,0.8492893614153
total_voyages,2023-06-01,2023-07-01,0.7834805739919135
total_voyages,2023-07-01,2023-08-01,0.7937267198925179
total_voyages,2023-08-01,2023-09-01,0.811043764777636
total_voyages,2023-09-01,2023-10-01,0.8293896728923568
total_voyages,2023-10-01,2023-11-01,0.8181730552503189
total_voyages,2023-11-01,2023-12-01,0.8239627508855825
total_voyages,2023-12-01,2024-01-01,0.8046494319378983
total_voyages,2024-01-01,2024-02-01,0.8011212054715977
total_voyages,2024-02-01,2024-03-01,0.8322041910465064
total_voyages,2024-03-01,2024-04-01,0.8177754144796567
total_voyages,2024-04-01,2024-05-01,0.726876498517475
total_voyages,2024-05-01,2024-06-01,0.7097642902483259
total_voyages,2024-06-01,2024-07-01,0.7085459168181784
total_voyages,2024-07-01,2024-08-01,0.7449464418048772
total_voyages,2024-08-01,2024-09-01,0.7103975007458758
total_voyages,2024-09-01,2024-10-01,0.7637022960730651
total_voyages,2024-10-01,2024-11-01,0.7051567063184287
total_voyages,2024-11-01,2024-12-01,0.7184529833160739
total_route_exposure,2020-01-01,2020-02-01,0.8477486750554424
total_route_exposure,2020-02-01,2020-03-01,0.8296655306329445
total_route_exposure,2020-03-01,2020-04-01,0.7842966785127053
total_route_exposure,2020-04-01,2020-05-01,0.7712689819351544
total_route_exposure,2020-05-01,2020-06-01,0.7288620343985849
total_route_exposure,2020-06-01,2020-07-01,0.7181398630201878
total_route_exposure,2020-07-01,2020-08-01,0.7400749085248427
total_route_exposure,2020-08-01,2020-09-01,0.7412648903683512
total_route_exposure,2020-09-01,2020-10-01,0.8068997293834699
total_route_exposure,2020-10-01,2020-11-01,0.8044909519705641
total_route_exposure,2020-11-01,2020-12-01,0.7458065342447324
total_route_exposure,2020-12-01,2021-01-01,0.7719160889112063
total_route_exposure,2021-01-01,2021-02-01,0.7031590438659195
total_route_exposure,2021-02-01,2021-03-01,0.8016578982944085
total_route_exposure,2021-03-01,2021-04-01,0.823183312711751
total_route_exposure,2021-04-01,2021-05-01,0.81370104967217
total_route_exposure,2021-05-01,2021-06-01,0.7921512772356377
total_route_exposure,2021-06-01,2021-07-01,0.8159119761405336
total_route_exposure,2021-07-01,2021-08-01,0.7991019109133258
total_route_exposure,2021-08-01,2021-09-01,0.7900521580413981
total_route_exposure,2021-09-01,2021-10-01,0.875756665604821
total_route_exposure,2021-10-01,2021-11-01,0.8398010376563808
total_route_exposure,2021-11-01,2021-12-01,0.8036354257424968
total_route_exposure,2021-12-01,2022-01-01,0.7826706618749898
total_route_exposure,2022-01-01,2022-02-01,0.8250368210032333
total_route_exposure,2022-02-01,2022-03-01,0.8323447815897824
total_route_exposure,2022-03-01,2022-04-01,0.8615013141520543
total_route_exposure,2022-04-01,2022-05-01,0.8445897286835189
total_route_exposure,2022-05-01,2022-06-01,0.8279098488144635
total_route_exposure,2022-06-01,2022-07-01,0.8429980727053272
total_route_exposure,2022-07-01,2022-08-01,0.8440943726651423
total_route_exposure,2022-08-01,2022-09-01,0.8299967673179489
total_route_exposure,2022-09-01,2022-10-01,0.8399775960742577
total_route_exposure,2022-10-01,2022-11-01,0.8545462631536911
total_route_exposure,2022-11-01,2022-12-01,0.8326273557861568
total_route_exposure,2022-12-01,2023-01-01,0.8358439538988879
total_route_exposure,2023-01-01,2023-02-01,0.812415328539561
total_route_exposure,2023-02-01,2023-03-01,0.8108958227680486
total_route_exposure,2023-03-01,2023-04-01,0.7872774339686105
total_route_exposure,2023-04-01,2023-05-01,0.7623893009137879
total_route_exposure,2023-05-01,2023-06-01,0.8351326553406282
total_route_exposure,2023-06-01,2023-07-01,0.7657589857093531
total_route_exposure,2023-07-01,2023-08-01,0.7705186034668966
total_route_exposure,2023-08-01,2023-09-01,0.8035303467558426
total_route_exposure,2023-09-01,2023-10-01,0.8075726140008688
total_route_exposure,2023-10-01,2023-11-01,0.8044951071236518
total_route_exposure,2023-11-01,2023-12-01,0.7924246767181728
total_route_exposure,2023-12-01,2024-01-01,0.7901487276255573
total_route_exposure,2024-01-01,2024-02-01,0.786646910373367
total_route_exposure,2024-02-01,2024-03-01,0.8219956983142438
total_route_exposure,2024-03-01,2024-04-01,0.80428478747938
total_route_exposure,2024-04-01,2024-05-01,0.7009708529055964
total_route_exposure,2024-05-01,2024-06-01,0.7194451990082044
total_route_exposure,2024-06-01,2024-07-01,0.6813320369135955
