node_id,node_type,metric,months,active_months,mean,std,coefficient_of_variation,min,max,lag1_autocorrelation,mean_absolute_monthly_change,mean_rank,median_rank,best_rank,worst_rank,rank_std,mean_percentile_rank,top_5pct_months,top_10pct_months,top_20pct_months,months_observed,top_5pct_share,top_10pct_share,top_20pct_share
CP001,chokepoint,betweenness,60,60,0.030089374759023808,0.014518074277573807,0.482498370067322,0.002105263157894737,0.08249496981891348,0.33519719862662506,0.010881547431350478,3.533333333333333,3.0,1.0,16.0,2.3467732384634785,0.9864081996434938,59,60,60,60,0.9833333333333333,1.0,1.0
CP001,chokepoint,node_throughput,60,60,2891436.5833333335,1224178.6090456983,0.42338075685354615,325900.0,5350661.0,0.4924911595909997,972143.3559322034,9.233333333333333,7.0,3.0,47.0,7.5338032951753835,0.953475935828877,46,55,59,60,0.7666666666666667,0.9166666666666666,0.9833333333333333
CP001,chokepoint,pagerank,60,60,0.02110357609476789,0.004278630144481351,0.2027443180846554,0.009640944910843257,0.030413372349615497,0.45075616613401676,0.003539434725050727,7.316666666666666,5.0,2.0,42.0,6.552245485629701,0.9662210338680928,48,57,59,60,0.8,0.95,0.9833333333333333
CP001,chokepoint,share_monthly_network_flow,60,60,0.03265992950429368,0.01271672281964727,0.3893677363258071,0.005611394198496794,0.0645739116598242,0.5812385267156068,0.009044466149898319,9.233333333333333,7.0,3.0,47.0,7.5338032951753835,0.953475935828877,46,55,59,60,0.7666666666666667,0.9166666666666666,0.9833333333333333
CP001,chokepoint,total_degree,60,60,5.183333333333334,1.7610827434787188,0.33975872864541196,2.0,10.0,0.3856550165881301,1.5423728813559323,12.666666666666666,10.0,4.0,28.0,5.858983155447643,0.9245989304812834,31,52,60,60,0.5166666666666667,0.8666666666666667,1.0
CP001,chokepoint,total_route_exposure,60,60,10.183333333333334,4.280391502237777,0.4203330444096017,1.0,19.0,0.4161312924827497,3.8135593220338984,10.55,8.0,3.0,49.0,8.230626971196243,0.9398395721925134,41,54,59,60,0.6833333333333333,0.9,0.9833333333333333
CP001,chokepoint,total_voyages,60,60,14.883333333333333,6.197571056926232,0.41641014940153853,2.0,27.0,0.4866889600094671,4.932203389830509,9.683333333333334,8.0,3.0,40.0,7.016908553609452,0.9470588235294117,46,54,59,60,0.7666666666666667,0.9,0.9833333333333333
CP002,chokepoint,betweenness,60,60,0.009901545426808376,0.00556389409913226,0.561921786882687,0.00028686173264486515,0.030721044915367188,0.3560728362316641,0.004051840378711556,9.0,9.0,2.0,16.0,3.71893915983796,0.9569964349376114,43,60,60,60,0.7166666666666667,1.0,1.0
CP002,chokepoint,node_throughput,60,60,1823750.6333333333,912490.0069815664,0.5003370473482859,174000.0,4236400.0,0.6887578138921152,557765.6949152543,16.3,13.0,1.0,57.0,11.290163710512328,0.9168894830659536,17,46,56,60,0.2833333333333333,0.7666666666666667,0.9333333333333333
CP002,chokepoint,pagerank,60,60,0.01918277858566723,0.004903500546915894,0.25561993144098716,0.011021614401308276,0.032502254625766516,0.5358374131272283,0.0035974532063793732,9.566666666666666,8.0,1.0,26.0,6.3067536215503015,0.9541889483065954,37,54,60,60,0.6166666666666667,0.9,1.0
CP002,chokepoint,share_monthly_network_flow,60,60,0.021069249569612734,0.01287814326962252,0.6112293286513683,0.002870607183242438,0.07596363485741757,0.7580346971363182,0.005893166639934536,16.3,13.0,1.0,57.0,11.290163710512328,0.9168894830659536,17,46,56,60,0.2833333333333333,0.7666666666666667,0.9333333333333333
CP002,chokepoint,total_degree,60,60,6.866666666666666,2.353984481226057,0.34281327396495975,2.0,12.0,0.5434874600528334,1.847457627118644,8.35,7.0,1.0,25.0,4.905289431499395,0.9521836007130126,48,57,60,60,0.8,0.95,1.0
CP002,chokepoint,total_route_exposure,60,60,9.75,4.778571519053771,0.49010989939013033,1.0,22.0,0.6835872550897446,2.8983050847457625,11.633333333333333,10.0,1.0,56.0,8.839370072399738,0.9323529411764705,33,54,59,60,0.55,0.9,0.9833333333333333
CP002,chokepoint,total_voyages,60,60,10.733333333333333,5.383171098288288,0.5015376799647473,1.0,25.0,0.6895897800181343,3.288135593220339,15.266666666666667,13.0,1.0,58.0,10.518533549055158,0.9137254901960784,18,46,57,60,0.3,0.7666666666666667,0.95
CP003,chokepoint,betweenness,60,0,0.0,0.0,,0.0,0.0,,0.0,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
CP003,chokepoint,node_throughput,60,0,0.0,0.0,,0.0,0.0,,0.0,97.53333333333333,95.0,73.0,127.0,13.497603888633842,0.2445632798573975,0,0,0,60,0.0,0.0,0.0
CP003,chokepoint,pagerank,60,0,0.0,0.0,,0.0,0.0,,0.0,97.53333333333333,95.0,73.0,127.0,13.497603888633842,0.2445632798573975,0,0,0,60,0.0,0.0,0.0
CP003,chokepoint,share_monthly_network_flow,60,0,0.0,0.0,,0.0,0.0,,0.0,97.53333333333333,95.0,73.0,127.0,13.497603888633842,0.2445632798573975,0,0,0,60,0.0,0.0,0.0
CP003,chokepoint,total_degree,60,0,0.0,0.0,,0.0,0.0,,0.0,97.53333333333333,95.0,73.0,127.0,13.497603888633842,0.2445632798573975,0,0,0,60,0.0,0.0,0.0
CP003,chokepoint,total_route_exposure,60,0,0.0,0.0,,0.0,0.0,,0.0,97.53333333333333,95.0,73.0,127.0,13.497603888633842,0.2445632798573975,0,0,0,60,0.0,0.0,0.0
CP003,chokepoint,total_voyages,60,0,0.0,0.0,,0.0,0.0,,0.0,97.53333333333333,95.0,73.0,127.0,13.497603888633842,0.2445632798573975,0,0,0,60,0.0,0.0,0.0
CP004,chokepoint,betweenness,60,60,0.02827036783482793,0.015077043583306932,0.5333161447136402,0.0012280701754385963,0.08511066398390342,0.33771337897339726,0.01121729622443592,4.783333333333333,4.0,2.0,18.0,2.9116462037512734,0.9797237076648841,57,60,60,60,0.95,1.0,1.0
CP004,chokepoint,node_throughput,60,60,2877634.1166666667,1212199.954519742,0.42124881252238716,325900.0,5350661.0,0.4958577118784815,953777.3220338983,9.333333333333334,7.0,3.0,47.0,7.48935214022054,0.9529411764705883,46,55,59,60,0.7666666666666667,0.9166666666666666,0.9833333333333333
CP004,chokepoint,pagerank,60,60,0.01653502916427744,0.003693240140630078,0.223358550138455,0.008663473076306463,0.02476423501305355,0.31223538181040256,0.003196186834490423,14.5,11.5,5.0,45.0,8.830801257386424,0.9278074866310161,27,49,57,60,0.45,0.8166666666666667,0.95
CP004,chokepoint,share_monthly_network_flow,60,60,0.03250839363087324,0.0125963317996069,0.3874793674100266,0.005611394198496794,0.06426270002568962,0.5825554780463701,0.008877665853666939,9.333333333333334,7.0,3.0,47.0,7.48935214022054,0.9529411764705883,46,55,59,60,0.7666666666666667,0.9166666666666666,0.9833333333333333
CP004,chokepoint,total_degree,60,60,4.133333333333334,1.227739643722708,0.29703378477162284,2.0,7.0,0.1459589867310011,1.2203389830508475,17.116666666666667,17.0,5.0,33.0,6.488821330556652,0.8963903743315508,12,37,60,60,0.2,0.6166666666666667,1.0
CP004,chokepoint,total_route_exposure,60,60,10.1,4.221414334444186,0.4179618152915036,1.0,18.0,0.4274386268140762,3.711864406779661,10.7,8.0,3.0,49.0,8.143417847396025,0.9390374331550803,41,54,59,60,0.6833333333333333,0.9,0.9833333333333333
CP004,chokepoint,total_voyages,60,60,14.8,6.128012922055676,0.41405492716592407,2.0,27.0,0.4908615368643699,4.830508474576271,9.8,8.0,3.0,40.0,6.978902832520505,0.9464349376114083,45,54,59,60,0.75,0.9,0.9833333333333333
CP005,chokepoint,betweenness,60,60,0.026708331541955024,0.01299419973214641,0.48652233149548685,0.0038726333907056795,0.05694980694980695,0.5829802402121155,0.008809268728711506,5.15,4.0,1.0,13.0,2.962048077523274,0.9776292335115865,53,60,60,60,0.8833333333333333,1.0,1.0
CP005,chokepoint,node_throughput,60,60,4060342.8333333335,1411935.2410151877,0.3477379371574053,599352.0,6586657.0,0.7690339856494592,742665.8474576271,5.566666666666666,4.0,3.0,36.0,4.6518327595259565,0.9755793226381461,55,59,60,60,0.9166666666666666,0.9833333333333333,1.0
CP005,chokepoint,pagerank,60,60,0.01893296246797784,0.005030520127142842,0.26570169014232103,0.010538633997249703,0.03461176845312086,0.6292347521780894,0.0032543694785078414,11.083333333333334,9.0,1.0,35.0,8.261184850930462,0.946078431372549,37,51,60,60,0.6166666666666667,0.85,1.0
CP005,chokepoint,share_monthly_network_flow,60,60,0.0456156240518676,0.01194069250881628,0.2617676017155662,0.010747086318351178,0.07542652612936092,0.5891496853590571,0.008371854066566748,5.566666666666666,4.0,3.0,36.0,4.6518327595259565,0.9755793226381461,55,59,60,60,0.9166666666666666,0.9833333333333333,1.0
CP005,chokepoint,total_degree,60,60,8.45,2.9768883766073024,0.35229448243873407,3.0,14.0,0.7779357156739808,1.4576271186440677,6.0,5.5,1.0,15.0,3.10821764829179,0.9675133689839572,54,60,60,60,0.9,1.0,1.0
CP005,chokepoint,total_route_exposure,60,60,14.3,5.257117854451546,0.3676306191924158,3.0,25.0,0.7078666793244464,3.23728813559322,5.95,5.0,1.0,27.0,4.2082445311433965,0.9708110516934046,53,59,60,60,0.8833333333333333,0.9833333333333333,1.0
