node_id,node_type,metric,months,active_months,mean,std,coefficient_of_variation,min,max,lag1_autocorrelation,mean_absolute_monthly_change
CP001,chokepoint,node_throughput,60,60,2891436.5833333335,1224178.6090456983,0.42338075685354615,325900.0,5350661.0,0.4924911595909997,972143.3559322034
CP001,chokepoint,total_voyages,60,60,14.883333333333333,6.197571056926232,0.41641014940153853,2.0,27.0,0.4866889600094671,4.932203389830509
CP001,chokepoint,total_route_exposure,60,60,10.183333333333334,4.280391502237777,0.4203330444096017,1.0,19.0,0.4161312924827497,3.8135593220338984
CP001,chokepoint,total_degree,60,60,5.316666666666666,1.8820442065690768,0.3539895059377574,2.0,10.0,0.34851954850318984,1.694915254237288
CP001,chokepoint,total_strength,60,60,5782873.166666667,2448357.2180913966,0.42338075685354615,651800.0,10701322.0,0.4924911595909997,1944286.7118644067
CP001,chokepoint,betweenness,60,60,0.03014617944494055,0.013843156218516142,0.45920101563116805,0.0022213994816734544,0.0733162830349531,0.3444934622533254,0.010619498415949138
CP001,chokepoint,pagerank,60,60,0.022252958184247666,0.004515442487464753,0.20291425751481107,0.010276980766704856,0.03219328324045272,0.4388100837988299,0.0037700841921912416
CP001,chokepoint,eigenvector,60,60,0.10686630469613032,0.08556491094317231,0.8006724962229433,0.0,0.38868585144331413,0.26743702495320004,0.07001010816437722
CP001,chokepoint,share_monthly_network_flow,60,60,0.03354608585903503,0.01300547494827268,0.3876897889942618,0.005865353864051572,0.0665981810245702,0.5824276339586487,0.009246806602404385
CP002,chokepoint,node_throughput,60,60,1823750.6333333333,912490.0069815664,0.5003370473482859,174000.0,4236400.0,0.6887578138921152,557765.6949152543
CP002,chokepoint,total_voyages,60,60,10.733333333333333,5.383171098288288,0.5015376799647473,1.0,25.0,0.6895897800181343,3.288135593220339
CP002,chokepoint,total_route_exposure,60,60,9.75,4.778571519053771,0.49010989939013033,1.0,22.0,0.6835872550897446,2.8983050847457625
CP002,chokepoint,total_degree,60,60,6.866666666666666,2.353984481226057,0.34281327396495975,2.0,12.0,0.5434874600528334,1.847457627118644
CP002,chokepoint,total_strength,60,60,3647501.2666666666,1824980.0139631329,0.5003370473482859,348000.0,8472800.0,0.6887578138921152,1115531.3898305085
CP002,chokepoint,betweenness,60,60,0.009516028520729856,0.005742679030281287,0.6034743399277703,0.00030111412225233364,0.031404958677685946,0.3579927616880332,0.004184708864714954
