period_month,total_nodes,active_nodes,inactive_nodes,active_share,inactive_share,inactive_share_change,robust_z_sparsity,high_sparsity_flag,inactive_share_chokepoint,inactive_share_terminal
2020-01-01,187,90,97,0.48128342245989303,0.5187165775401069,,0.16862499999999891,False,0.32142857142857145,0.5534591194968553
2020-02-01,187,83,104,0.44385026737967914,0.5561497326203209,0.03743315508021394,0.7588124999999994,False,0.35714285714285715,0.5911949685534591
2020-03-01,187,80,107,0.42780748663101603,0.5721925133689839,0.016042780748663055,1.0117499999999986,False,0.32142857142857145,0.6163522012578616
2020-04-01,187,70,117,0.37433155080213903,0.6256684491978609,0.053475935828877,1.8548749999999985,False,0.35714285714285715,0.6729559748427673
2020-05-01,187,85,102,0.45454545454545453,0.5454545454545454,-0.0802139037433155,0.5901874999999988,False,0.35714285714285715,0.5786163522012578
2020-06-01,187,80,107,0.42780748663101603,0.5721925133689839,0.0267379679144385,1.0117499999999986,False,0.32142857142857145,0.6163522012578616
2020-07-01,187,81,106,0.43315508021390375,0.5668449197860963,-0.005347593582887611,0.9274375,False,0.39285714285714285,0.5974842767295597
2020-08-01,187,84,103,0.44919786096256686,0.5508021390374331,-0.016042780748663166,0.6744999999999991,False,0.32142857142857145,0.5911949685534591
2020-09-01,187,86,101,0.45989304812834225,0.5401069518716578,-0.010695187165775333,0.5058750000000002,False,0.35714285714285715,0.5723270440251572
2020-10-01,187,81,106,0.43315508021390375,0.5668449197860963,0.0267379679144385,0.9274375,False,0.35714285714285715,0.6037735849056604
2020-11-01,187,87,100,0.46524064171123,0.5347593582887701,-0.03208556149732622,0.4215624999999999,False,0.32142857142857145,0.5723270440251572
2020-12-01,187,78,109,0.41711229946524064,0.5828877005347594,0.048128342245989275,1.1803749999999993,False,0.32142857142857145,0.6289308176100629
2021-01-01,187,75,112,0.40106951871657753,0.5989304812834224,0.016042780748663055,1.4333124999999987,False,0.39285714285714285,0.6352201257861635
2021-02-01,187,83,104,0.44385026737967914,0.5561497326203209,-0.04278074866310155,0.7588124999999994,False,0.35714285714285715,0.5911949685534591
2021-03-01,187,92,95,0.4919786096256685,0.5080213903743316,-0.048128342245989275,0.0,False,0.32142857142857145,0.5408805031446541
2021-04-01,187,89,98,0.47593582887700536,0.5240641711229946,0.016042780748663055,0.25293749999999926,False,0.35714285714285715,0.5534591194968553
2021-05-01,187,94,93,0.5026737967914439,0.49732620320855614,-0.0267379679144385,-0.16862500000000064,False,0.32142857142857145,0.5283018867924528
2021-06-01,187,97,90,0.5187165775401069,0.48128342245989303,-0.01604278074866311,-0.4215625000000008,False,0.21428571428571427,0.5283018867924528
2021-07-01,187,96,91,0.5133689839572193,0.48663101604278075,0.005347593582887722,-0.33725000000000044,False,0.25,0.5283018867924528
2021-08-01,187,92,95,0.4919786096256685,0.5080213903743316,0.021390374331550832,0.0,False,0.32142857142857145,0.5408805031446541
