node_group,metric,n,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,zero_share
all,node_throughput,11220,465843.7991087344,1065948.1628025284,0.0,0.0,0.0,0.0,18000.0,464025.0,2216332.249999995,5631946.749999999,10912603.0,0.49411764705882355
all,total_voyages,11220,2.68921568627451,5.647260363405439,0.0,0.0,0.0,0.0,1.0,3.0,13.0,30.0,55.0,0.49411764705882355
all,total_route_exposure,11220,1.9509803921568627,3.7270621133970563,0.0,0.0,0.0,0.0,1.0,2.0,9.0,19.0,31.0,0.49411764705882355
all,total_degree,11220,1.4438502673796791,2.5635974490157,0.0,0.0,0.0,0.0,1.0,2.0,6.0,13.0,24.0,0.49411764705882355
all,total_strength,11220,674784.9474153297,1832199.8312783085,0.0,0.0,0.0,0.0,18000.0,485629.0,3390030.1999999955,10103769.059999999,21404130.0,0.49411764705882355
all,betweenness,11220,0.0015381105819488362,0.006914021124688049,0.0,0.0,0.0,0.0,0.0,0.0,0.00873345056599979,0.04105922189704539,0.09242358394900767,0.9010695187165776
all,pagerank,11220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,eigenvector,11220,0.01164356378205498,0.06573538268378026,0.0,0.0,0.0,0.0,0.0,0.0003760804162986929,0.028208108647753395,0.41532244864998075,0.6928697122273704,0.5820855614973262
all,share_monthly_network_flow,11220,0.0053475935828877,0.011962453942429056,0.0,0.0,0.0,0.0,0.000260558507450229,0.005263197867409725,0.025718652615575488,0.0653747656926214,0.1171262869982394,0.49411764705882355
chokepoint,node_throughput,1680,1395428.3833333333,1878488.6934849117,0.0,0.0,0.0,0.0,649367.0,1983108.25,5409125.799999999,8290953.640000002,10702065.0,0.33095238095238094
chokepoint,total_voyages,1680,7.668452380952381,9.835645447432215,0.0,0.0,0.0,0.0,4.0,11.0,29.0,42.0,55.0,0.33095238095238094
chokepoint,total_route_exposure,1680,5.6726190476190474,6.604722464295494,0.0,0.0,0.0,0.0,3.0,9.0,20.0,26.0,31.0,0.33095238095238094
chokepoint,total_degree,1680,4.5625,4.752068450294408,0.0,0.0,0.0,0.0,4.0,7.0,14.0,19.0,24.0,0.33095238095238094
chokepoint,total_strength,1680,2790856.7666666666,3756977.3869698234,0.0,0.0,0.0,0.0,1298734.0,3966216.5,10818251.599999998,16581907.280000005,21404130.0,0.33095238095238094
chokepoint,betweenness,1680,0.01027238138658687,0.015154102571009234,0.0,0.0,0.0,0.0,0.0029247510898887047,0.014002755573774225,0.04364094212471941,0.06228659848119048,0.09242358394900767,0.3392857142857143
chokepoint,pagerank,1680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
chokepoint,eigenvector,1680,0.04979601230996112,0.1364758391438198,0.0,0.0,0.0,0.0,0.00012095661014769674,0.010353988073030111,0.3560211671273175,0.6796829741000422,0.6928697122273704,0.44226190476190474
chokepoint,share_monthly_network_flow,1680,0.016048988387793638,0.020770762884147247,0.0,0.0,0.0,0.0,0.00799206576476379,0.023999963084471228,0.058448200909240515,0.08736903154399335,0.11490996981044929,0.33095238095238094
terminal,node_throughput,9540,302143.3691823899,732301.1868378441,0.0,0.0,0.0,0.0,0.0,335568.0,1296817.6999999993,3091084.000000003,10912603.0,0.5228511530398323
terminal,total_voyages,9540,1.8123689727463312,3.917298700380201,0.0,0.0,0.0,0.0,0.0,2.0,8.0,18.0,52.0,0.5228511530398323
terminal,total_route_exposure,9540,1.2955974842767295,2.406320413432915,0.0,0.0,0.0,0.0,0.0,2.0,5.0,12.0,29.0,0.5228511530398323
terminal,total_degree,9540,0.8946540880503144,1.3191409555952112,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,10.0,0.5228511530398323
terminal,total_strength,9540,302143.3691823899,732301.1868378441,0.0,0.0,0.0,0.0,0.0,335568.0,1296817.6999999993,3091084.000000003,10912603.0,0.5228511530398323
terminal,betweenness,9540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
terminal,pagerank,9540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
terminal,eigenvector,9540,0.004924893601040063,0.038759376304422895,0.0,0.0,0.0,0.0,0.0,0.0001716202592547634,0.012317201994280888,0.0666558038872031,0.5793058936073333,0.6067085953878407
terminal,share_monthly_network_flow,9540,0.0034630712273067805,0.008285239409466323,0.0,0.0,0.0,0.0,0.0,0.0037699268775791537,0.014464020179660914,0.03549523185189025,0.1171262869982394,0.5228511530398323
