,node_throughput,total_voyages,total_route_exposure,total_degree,total_strength,betweenness,pagerank,eigenvector,share_monthly_network_flow
node_throughput,1.0,0.9919069698834319,0.984195025073849,0.9627984426684015,0.9972402094348983,0.48123426810284825,0.9063569083372176,0.8452022105831855,0.9931683203433854
total_voyages,0.9919069698834319,1.0,0.9900238539295254,0.9695190077802112,0.9894288182285488,0.47897231009403235,0.9017444914356539,0.8347188166090425,0.986658678193437
total_route_exposure,0.984195025073849,0.9900238539295254,1.0,0.9777492054354907,0.9837548783624712,0.4940148399810658,0.9004135550908074,0.8317267947862113,0.9796716273749622
total_degree,0.9627984426684015,0.9695190077802112,0.9777492054354907,1.0,0.9696931315507628,0.5398816256125425,0.9064029499225298,0.8212342951499159,0.9606034832132748
total_strength,0.9972402094348983,0.9894288182285488,0.9837548783624712,0.9696931315507628,1.0,0.5307856809853048,0.9154082931515358,0.84398469359175,0.9917495823251403
betweenness,0.48123426810284825,0.47897231009403235,0.4940148399810658,0.5398816256125425,0.5307856809853048,1.0,0.5296286502971655,0.38209998112891047,0.4870575594030264
pagerank,0.9063569083372176,0.9017444914356539,0.9004135550908074,0.9064029499225298,0.9154082931515358,0.5296286502971655,1.0,0.7842428569953667,0.9198748135281475
eigenvector,0.8452022105831855,0.8347188166090425,0.8317267947862113,0.8212342951499159,0.84398469359175,0.38209998112891047,0.7842428569953667,1.0,0.8334771657308755
share_monthly_network_flow,0.9931683203433854,0.986658678193437,0.9796716273749622,0.9606034832132748,0.9917495823251403,0.4870575594030264,0.9198748135281475,0.8334771657308755,1.0
