,node_throughput,total_voyages,total_route_exposure,total_degree,total_strength,betweenness,pagerank,eigenvector,share_monthly_network_flow
node_throughput,1.0,0.9966208320767883,0.9849786051864579,0.880934166927611,1.0,0.922852506252239,0.8505659003996406,0.7814020737259207,0.9817967077009829
total_voyages,0.9966208320767883,1.0,0.9900745828347736,0.8929811681726504,0.9966208320767883,0.9175802162445754,0.8505138062264473,0.7708285919324517,0.976118888341363
total_route_exposure,0.9849786051864579,0.9900745828347736,1.0,0.8965097623929701,0.9849786051864579,0.9136758035450467,0.8496271242391662,0.7631524176079106,0.9636666053447871
total_degree,0.880934166927611,0.8929811681726504,0.8965097623929701,1.0,0.880934166927611,0.8452468201630421,0.831064799442448,0.6802176036159542,0.8667399896114333
total_strength,1.0,0.9966208320767883,0.9849786051864579,0.880934166927611,1.0,0.922852506252239,0.8505659003996406,0.7814020737259207,0.9817967077009829
betweenness,0.922852506252239,0.9175802162445754,0.9136758035450467,0.8452468201630421,0.922852506252239,1.0,0.8786765190954281,0.7984586135405906,0.9214585646705763
pagerank,0.8505659003996406,0.8505138062264473,0.8496271242391662,0.831064799442448,0.8505659003996406,0.8786765190954281,1.0,0.6797060458495587,0.8786281243203243
eigenvector,0.7814020737259207,0.7708285919324517,0.7631524176079106,0.6802176036159542,0.7814020737259207,0.7984586135405906,0.6797060458495587,1.0,0.7628744223479554
share_monthly_network_flow,0.9817967077009829,0.976118888341363,0.9636666053447871,0.8667399896114333,0.9817967077009829,0.9214585646705763,0.8786281243203243,0.7628744223479554,1.0
