,node_throughput,total_voyages,total_route_exposure,total_degree,total_strength,betweenness,pagerank,eigenvector,share_monthly_network_flow
node_throughput,1.0,0.9857314132125098,0.915365591475483,0.6145522096758883,1.0,,0.3743892012072745,0.7311240051308342,0.9535058757578974
total_voyages,0.9857314132125098,1.0,0.9415893400494817,0.6898298714031068,0.98573141321251,,0.4130552024910797,0.658651423955174,0.9352459973708307
total_route_exposure,0.915365591475483,0.9415893400494817,1.0,0.8006123603097578,0.915365591475483,,0.4723242431743313,0.5556916373755044,0.8754239850647326
total_degree,0.6145522096758883,0.6898298714031068,0.8006123603097578,1.0,0.6145522096758882,,0.6229871264079679,0.11755240922877551,0.5954238964030477
total_strength,1.0,0.98573141321251,0.915365591475483,0.6145522096758882,1.0,,0.3743892012072745,0.7311240051308342,0.9535058757578974
betweenness,,,,,,,,,
pagerank,0.3743892012072745,0.4130552024910797,0.4723242431743313,0.6229871264079679,0.3743892012072745,,1.0,0.09528048648416557,0.40524908611161087
eigenvector,0.7311240051308342,0.658651423955174,0.5556916373755044,0.11755240922877551,0.7311240051308342,,0.09528048648416557,1.0,0.733745745428177
share_monthly_network_flow,0.9535058757578974,0.9352459973708307,0.8754239850647326,0.5954238964030477,0.9535058757578974,,0.40524908611161087,0.733745745428177,1.0
