period_month,metric_a,metric_b,spearman_correlation
2020-04-01,node_throughput,eigenvector,0.9642498470737348
2020-04-01,node_throughput,share_monthly_network_flow,1.0
2020-04-01,total_voyages,total_route_exposure,0.9945780184089191
2020-04-01,total_voyages,total_degree,0.9807218192816132
2020-04-01,total_voyages,total_strength,0.994813906121088
2020-04-01,total_voyages,betweenness,0.5416590691637769
2020-04-01,total_voyages,pagerank,0.9583345368908055
2020-04-01,total_voyages,eigenvector,0.9521114700997004
2020-04-01,total_voyages,share_monthly_network_flow,0.996237172413388
2020-04-01,total_route_exposure,total_degree,0.982904755990523
2020-04-01,total_route_exposure,total_strength,0.9933968740031702
2020-04-01,total_route_exposure,betweenness,0.550058267453079
2020-04-01,total_route_exposure,pagerank,0.9553109099683179
2020-04-01,total_route_exposure,eigenvector,0.9601810375409469
2020-04-01,total_route_exposure,share_monthly_network_flow,0.9938199066800992
2020-04-01,total_degree,total_strength,0.9841938797930555
2020-04-01,total_degree,betweenness,0.5818265942468911
2020-04-01,total_degree,pagerank,0.9552989359542063
2020-04-01,total_degree,eigenvector,0.951132837564823
2020-04-01,total_degree,share_monthly_network_flow,0.9810168821121374
2020-04-01,total_strength,betweenness,0.5771929364436136
2020-04-01,total_strength,pagerank,0.9638705466736306
2020-04-01,total_strength,eigenvector,0.9626443875384499
2020-04-01,total_strength,share_monthly_network_flow,0.9988820630329791
2020-04-01,betweenness,pagerank,0.5728891623816057
2020-04-01,betweenness,eigenvector,0.5101285155692533
2020-04-01,betweenness,share_monthly_network_flow,0.5500265343484481
2020-04-01,pagerank,eigenvector,0.9286887593397143
2020-04-01,pagerank,share_monthly_network_flow,0.9609515064786401
2020-04-01,eigenvector,share_monthly_network_flow,0.9642498470737348
2020-05-01,node_throughput,total_voyages,0.9942260771831739
2020-05-01,node_throughput,total_route_exposure,0.9849456975262223
2020-05-01,node_throughput,total_degree,0.9681623346676035
2020-05-01,node_throughput,total_strength,0.997999222221243
2020-05-01,node_throughput,betweenness,0.516508467560202
2020-05-01,node_throughput,pagerank,0.9360276372321645
2020-05-01,node_throughput,eigenvector,0.9448548092489787
2020-05-01,node_throughput,share_monthly_network_flow,1.0
2020-05-01,total_voyages,total_route_exposure,0.9916860211420125
2020-05-01,total_voyages,total_degree,0.9764547011469503
2020-05-01,total_voyages,total_strength,0.9932822068919213
2020-05-01,total_voyages,betweenness,0.5217737361559994
2020-05-01,total_voyages,pagerank,0.9315235396963275
2020-05-01,total_voyages,eigenvector,0.9414061410354596
2020-05-01,total_voyages,share_monthly_network_flow,0.9942260771831739
2020-05-01,total_route_exposure,total_degree,0.9838318954678471
2020-05-01,total_route_exposure,total_strength,0.9858149164098905
2020-05-01,total_route_exposure,betweenness,0.5369588670148823
2020-05-01,total_route_exposure,pagerank,0.9273065474968761
2020-05-01,total_route_exposure,eigenvector,0.9360349154895319
2020-05-01,total_route_exposure,share_monthly_network_flow,0.9849456975262223
2020-05-01,total_degree,total_strength,0.9742694676256627
2020-05-01,total_degree,betweenness,0.5719237558415249
2020-05-01,total_degree,pagerank,0.9304427750757155
2020-05-01,total_degree,eigenvector,0.932383495925169
2020-05-01,total_degree,share_monthly_network_flow,0.9681623346676034
2020-05-01,total_strength,betweenness,0.5524674899287533
2020-05-01,total_strength,pagerank,0.941493313893675
2020-05-01,total_strength,eigenvector,0.9449848566968817
2020-05-01,total_strength,share_monthly_network_flow,0.997999222221243
2020-05-01,betweenness,pagerank,0.5468205695072493
2020-05-01,betweenness,eigenvector,0.4523716689319788
2020-05-01,betweenness,share_monthly_network_flow,0.516508467560202
2020-05-01,pagerank,eigenvector,0.9063630748530531
2020-05-01,pagerank,share_monthly_network_flow,0.9360276372321644
2020-05-01,eigenvector,share_monthly_network_flow,0.9448548092489786
2020-06-01,node_throughput,total_voyages,0.9960623915159623
2020-06-01,node_throughput,total_route_exposure,0.9863853624942817
2020-06-01,node_throughput,total_degree,0.9742232752836524
2020-06-01,node_throughput,total_strength,0.9968045383162424
2020-06-01,node_throughput,betweenness,0.525187437245149
2020-06-01,node_throughput,pagerank,0.9400412752012332
2020-06-01,node_throughput,eigenvector,0.9543402287739957
2020-06-01,node_throughput,share_monthly_network_flow,1.0
2020-06-01,total_voyages,total_route_exposure,0.9905350292463655
2020-06-01,total_voyages,total_degree,0.9789982494707191
2020-06-01,total_voyages,total_strength,0.9936097622056894
2020-06-01,total_voyages,betweenness,0.5264348463506477
2020-06-01,total_voyages,pagerank,0.9393051056976425
2020-06-01,total_voyages,eigenvector,0.9503735867407566
2020-06-01,total_voyages,share_monthly_network_flow,0.9960623915159622
2020-06-01,total_route_exposure,total_degree,0.9858856942587783
2020-06-01,total_route_exposure,total_strength,0.9880871071475437
2020-06-01,total_route_exposure,betweenness,0.5519109165721691
2020-06-01,total_route_exposure,pagerank,0.9404114906066616
2020-06-01,total_route_exposure,eigenvector,0.9404282520675373
2020-06-01,total_route_exposure,share_monthly_network_flow,0.9863853624942817
2020-06-01,total_degree,total_strength,0.9817322701880021
2020-06-01,total_degree,betweenness,0.590735488187252
2020-06-01,total_degree,pagerank,0.9521702231512905
2020-06-01,total_degree,eigenvector,0.9278305143512757
2020-06-01,total_degree,share_monthly_network_flow,0.9742232752836525
2020-06-01,total_strength,betweenness,0.5759090805501628
2020-06-01,total_strength,pagerank,0.9494812380815992
2020-06-01,total_strength,eigenvector,0.9484434013966889
2020-06-01,total_strength,share_monthly_network_flow,0.9968045383162424
2020-06-01,betweenness,pagerank,0.5725181826997372
2020-06-01,betweenness,eigenvector,0.4365262996050119
2020-06-01,betweenness,share_monthly_network_flow,0.525187437245149
2020-06-01,pagerank,eigenvector,0.9043791953487119
2020-06-01,pagerank,share_monthly_network_flow,0.940041275201233
2020-06-01,eigenvector,share_monthly_network_flow,0.9543402287739957
2020-07-01,node_throughput,total_voyages,0.9922475098062611
2020-07-01,node_throughput,total_route_exposure,0.9815858635529692
2020-07-01,node_throughput,total_degree,0.9676892072416439
2020-07-01,node_throughput,total_strength,0.9972538798114844
2020-07-01,node_throughput,betweenness,0.49674496651127303
2020-07-01,node_throughput,pagerank,0.9313283660213683
2020-07-01,node_throughput,eigenvector,0.9552444731877264
2020-07-01,node_throughput,share_monthly_network_flow,1.0
2020-07-01,total_voyages,total_route_exposure,0.9904463372914781
2020-07-01,total_voyages,total_degree,0.9757414423545895
2020-07-01,total_voyages,total_strength,0.9896977730243453
2020-07-01,total_voyages,betweenness,0.49230352642209413
2020-07-01,total_voyages,pagerank,0.9280810797343005
2020-07-01,total_voyages,eigenvector,0.948926354103324
2020-07-01,total_voyages,share_monthly_network_flow,0.9922475098062611
2020-07-01,total_route_exposure,total_degree,0.9853535177208318
2020-07-01,total_route_exposure,total_strength,0.9827312478028408
2020-07-01,total_route_exposure,betweenness,0.5171829891637606
2020-07-01,total_route_exposure,pagerank,0.9248482388948992
2020-07-01,total_route_exposure,eigenvector,0.9381528200934242
2020-07-01,total_route_exposure,share_monthly_network_flow,0.9815858635529691
2020-07-01,total_degree,total_strength,0.9745467513606348
2020-07-01,total_degree,betweenness,0.5632435031430509
2020-07-01,total_degree,pagerank,0.9405976032258834
2020-07-01,total_degree,eigenvector,0.930314625530776
2020-07-01,total_degree,share_monthly_network_flow,0.9676892072416439
2020-07-01,total_strength,betweenness,0.5448010556060878
2020-07-01,total_strength,pagerank,0.9396078328795605
2020-07-01,total_strength,eigenvector,0.9538271952591703
2020-07-01,total_strength,share_monthly_network_flow,0.9972538798114845
2020-07-01,betweenness,pagerank,0.542336132882491
2020-07-01,betweenness,eigenvector,0.44886786225895126
2020-07-01,betweenness,share_monthly_network_flow,0.49674496651127303
2020-07-01,pagerank,eigenvector,0.9194898939177815
2020-07-01,pagerank,share_monthly_network_flow,0.9313283660213683
2020-07-01,eigenvector,share_monthly_network_flow,0.9552444731877264
2020-08-01,node_throughput,total_voyages,0.9869214852780142
2020-08-01,node_throughput,total_route_exposure,0.9789375169270106
2020-08-01,node_throughput,total_degree,0.9606544604952134
2020-08-01,node_throughput,total_strength,0.9972802379051758
2020-08-01,node_throughput,betweenness,0.5105642984570468
2020-08-01,node_throughput,pagerank,0.9345596538977795
2020-08-01,node_throughput,eigenvector,0.9069654479256757
2020-08-01,node_throughput,share_monthly_network_flow,1.0
2020-08-01,total_voyages,total_route_exposure,0.9900600985594437
2020-08-01,total_voyages,total_degree,0.9678590502982001
2020-08-01,total_voyages,total_strength,0.9841933406316677
2020-08-01,total_voyages,betweenness,0.492368075711669
2020-08-01,total_voyages,pagerank,0.9306522367856122
2020-08-01,total_voyages,eigenvector,0.8980295892160968
2020-08-01,total_voyages,share_monthly_network_flow,0.986921485278014
2020-08-01,total_route_exposure,total_degree,0.9765250125448337
2020-08-01,total_route_exposure,total_strength,0.9772580618482585
2020-08-01,total_route_exposure,betweenness,0.49881285838728284
2020-08-01,total_route_exposure,pagerank,0.930012223023734
2020-08-01,total_route_exposure,eigenvector,0.8920181057533413
2020-08-01,total_route_exposure,share_monthly_network_flow,0.9789375169270106
2020-08-01,total_degree,total_strength,0.9692805493287314
2020-08-01,total_degree,betweenness,0.5799118052127458
2020-08-01,total_degree,pagerank,0.9467638148763748
2020-08-01,total_degree,eigenvector,0.8829595366369859
2020-08-01,total_degree,share_monthly_network_flow,0.9606544604952134
2020-08-01,total_strength,betweenness,0.5540784778875439
2020-08-01,total_strength,pagerank,0.9396246741667656
2020-08-01,total_strength,eigenvector,0.9089477203228987
2020-08-01,total_strength,share_monthly_network_flow,0.997280237905176
2020-08-01,betweenness,pagerank,0.5433213213788544
2020-08-01,betweenness,eigenvector,0.46754736970744715
2020-08-01,betweenness,share_monthly_network_flow,0.5105642984570467
2020-08-01,pagerank,eigenvector,0.8647013778964218
2020-08-01,pagerank,share_monthly_network_flow,0.9345596538977794
2020-08-01,eigenvector,share_monthly_network_flow,0.9069654479256757
2020-09-01,node_throughput,total_voyages,0.9912324409001133
2020-09-01,node_throughput,total_route_exposure,0.9874641986764998
2020-09-01,node_throughput,total_degree,0.9712022473287669
2020-09-01,node_throughput,total_strength,0.9986100815511573
2020-09-01,node_throughput,betweenness,0.5348387872167161
2020-09-01,node_throughput,pagerank,0.934174158292745
2020-09-01,node_throughput,eigenvector,0.9492598487550918
2020-09-01,node_throughput,share_monthly_network_flow,1.0
2020-09-01,total_voyages,total_route_exposure,0.9962986619645291
2020-09-01,total_voyages,total_degree,0.9796527638699681
2020-09-01,total_voyages,total_strength,0.9903278904629627
2020-09-01,total_voyages,betweenness,0.536423130572163
2020-09-01,total_voyages,pagerank,0.9320027470299385
2020-09-01,total_voyages,eigenvector,0.9366472821401294
2020-09-01,total_voyages,share_monthly_network_flow,0.9912324409001133
2020-09-01,total_route_exposure,total_degree,0.9827059370983122
2020-09-01,total_route_exposure,total_strength,0.9879842063307273
2020-09-01,total_route_exposure,betweenness,0.5466380718162382
2020-09-01,total_route_exposure,pagerank,0.9310815011752616
2020-09-01,total_route_exposure,eigenvector,0.9357123499783314
2020-09-01,total_route_exposure,share_monthly_network_flow,0.9874641986764999
2020-09-01,total_degree,total_strength,0.9746431131509582
2020-09-01,total_degree,betweenness,0.5643302644440316
2020-09-01,total_degree,pagerank,0.9385798503922332
2020-09-01,total_degree,eigenvector,0.9244070367593239
2020-09-01,total_degree,share_monthly_network_flow,0.9712022473287669
2020-09-01,total_strength,betweenness,0.5657958560035047
2020-09-01,total_strength,pagerank,0.9401875567629295
2020-09-01,total_strength,eigenvector,0.9483011448257298
2020-09-01,total_strength,share_monthly_network_flow,0.9986100815511574
2020-09-01,betweenness,pagerank,0.561529192599719
2020-09-01,betweenness,eigenvector,0.46381151831683776
2020-09-01,betweenness,share_monthly_network_flow,0.5348387872167161
2020-09-01,pagerank,eigenvector,0.9096873606470779
2020-09-01,pagerank,share_monthly_network_flow,0.9341741582927449
2020-09-01,eigenvector,share_monthly_network_flow,0.9492598487550918
2020-10-01,node_throughput,total_voyages,0.9922193012332058
2020-10-01,node_throughput,total_route_exposure,0.9864790036607304
2020-10-01,node_throughput,total_degree,0.9684748188605699
2020-10-01,node_throughput,total_strength,0.9977857742088133
2020-10-01,node_throughput,betweenness,0.5147404479396959
2020-10-01,node_throughput,pagerank,0.9407635350410777
2020-10-01,node_throughput,eigenvector,0.9245296406174829
2020-10-01,node_throughput,share_monthly_network_flow,1.0
2020-10-01,total_voyages,total_route_exposure,0.9936984450479549
2020-10-01,total_voyages,total_degree,0.9757027376521383
2020-10-01,total_voyages,total_strength,0.9904190343753968
2020-10-01,total_voyages,betweenness,0.5119746255009245
2020-10-01,total_voyages,pagerank,0.9342813500037962
2020-10-01,total_voyages,eigenvector,0.9101482139092427
2020-10-01,total_voyages,share_monthly_network_flow,0.9922193012332058
2020-10-01,total_route_exposure,total_degree,0.9834725933400185
2020-10-01,total_route_exposure,total_strength,0.9864111060374225
2020-10-01,total_route_exposure,betweenness,0.5234731733872473
2020-10-01,total_route_exposure,pagerank,0.9282246146692734
2020-10-01,total_route_exposure,eigenvector,0.9057528459717424
2020-10-01,total_route_exposure,share_monthly_network_flow,0.9864790036607304
