,node_throughput,total_voyages,total_route_exposure,total_degree,total_strength,betweenness,pagerank,eigenvector,share_monthly_network_flow
node_throughput,1.0,0.9942853971035719,0.9528783980366099,0.7461482274067656,1.0,0.7419603753581984,0.6961228735716789,0.737552010426656,0.9404256469495964
total_voyages,0.9942853971035719,1.0,0.969066841771991,0.7871478294598883,0.994285397103572,0.7459254728739467,0.719806588816943,0.6926658254996753,0.9280672714614209
total_route_exposure,0.9528783980366099,0.969066841771991,1.0,0.8403126920274653,0.9528783980366099,0.7751062013642626,0.7737620274295463,0.6202675255363876,0.8997633888730112
total_degree,0.7461482274067656,0.7871478294598883,0.8403126920274653,1.0,0.7461482274067655,0.7058083118416036,0.8325727194103734,0.2869209862314364,0.7123962975829171
total_strength,1.0,0.994285397103572,0.9528783980366099,0.7461482274067655,1.0,0.7419603753581984,0.6961228735716789,0.737552010426656,0.9404256469495964
betweenness,0.7419603753581984,0.7459254728739467,0.7751062013642626,0.7058083118416036,0.7419603753581984,1.0,0.7111721126716353,0.4851952313958598,0.7288729681424676
pagerank,0.6961228735716789,0.719806588816943,0.7737620274295463,0.8325727194103734,0.6961228735716789,0.7111721126716353,1.0,0.34686342945761256,0.7496945140190713
eigenvector,0.737552010426656,0.6926658254996753,0.6202675255363876,0.2869209862314364,0.737552010426656,0.4851952313958598,0.34686342945761256,1.0,0.7606819693595818
share_monthly_network_flow,0.9404256469495964,0.9280672714614209,0.8997633888730112,0.7123962975829171,0.9404256469495964,0.7288729681424676,0.7496945140190713,0.7606819693595818,1.0
