,node_throughput,total_voyages,total_route_exposure,total_degree,total_strength,betweenness,pagerank,eigenvector,share_monthly_network_flow
node_throughput,1.0,0.9915242672376254,0.9431167120452648,0.732920558175037,0.9518096929035873,0.6202361778858266,0.5855693872448267,0.7416011018041518,0.9535959550318803
total_voyages,0.9915242672376254,1.0,0.9607693430197681,0.7745572381473425,0.9436976967788696,0.6205232545632777,0.6121331556915174,0.6902791144390548,0.9406970393656942
total_route_exposure,0.9431167120452648,0.9607693430197681,1.0,0.8457829344424469,0.922988189355023,0.6739859469536531,0.6752232297734553,0.6156428815801026,0.9029157992638198
total_degree,0.732920558175037,0.7745572381473425,0.8457829344424469,1.0,0.7792460746581479,0.7081939709841424,0.7655884090092427,0.31679342553485207,0.7113886457966754
total_strength,0.9518096929035873,0.9436976967788696,0.922988189355023,0.7792460746581479,1.0,0.7518334140686133,0.6152282928333205,0.7283888215890794,0.907444134329122
betweenness,0.6202361778858266,0.6205232545632777,0.6739859469536531,0.7081939709841424,0.7518334140686133,1.0,0.5859830025064964,0.4502630686405005,0.6127431053867031
pagerank,0.5855693872448267,0.6121331556915174,0.6752232297734553,0.7655884090092427,0.6152282928333205,0.5859830025064964,1.0,0.2817853845422796,0.6208029255832496
eigenvector,0.7416011018041518,0.6902791144390548,0.6156428815801026,0.31679342553485207,0.7283888215890794,0.4502630686405005,0.2817853845422796,1.0,0.7524872055478451
share_monthly_network_flow,0.9535959550318803,0.9406970393656942,0.9029157992638198,0.7113886457966754,0.907444134329122,0.6127431053867031,0.6208029255832496,0.7524872055478451,1.0
