,node_throughput,total_voyages,total_route_exposure,total_degree,total_strength,betweenness,pagerank,eigenvector,share_monthly_network_flow
node_throughput,1.0,0.9939634416386562,0.9494098834910178,0.7264458195807358,1.0,0.7221856638157629,0.6340047741714566,0.7327422220339406,0.9370390854939677
total_voyages,0.9939634416386562,1.0,0.9667536070910829,0.7673101992093975,0.9939634416386564,0.725921713538643,0.6587892908424093,0.6862327882019914,0.9236290284131113
total_route_exposure,0.9494098834910178,0.9667536070910829,1.0,0.8201761660913115,0.9494098834910178,0.7580044621000934,0.7199961277641282,0.6083602179313081,0.8909967508792566
total_degree,0.7264458195807358,0.7673101992093975,0.8201761660913115,1.0,0.7264458195807358,0.6926678121089435,0.7812770298956492,0.26769301590104644,0.6892048829868199
total_strength,1.0,0.9939634416386564,0.9494098834910178,0.7264458195807358,1.0,0.7221856638157629,0.6340047741714566,0.7327422220339406,0.9370390854939677
betweenness,0.7221856638157629,0.725921713538643,0.7580044621000934,0.6926678121089435,0.7221856638157629,1.0,0.6808465055839057,0.4693485165827145,0.7103774620986512
pagerank,0.6340047741714566,0.6587892908424093,0.7199961277641282,0.7812770298956492,0.6340047741714566,0.6808465055839057,1.0,0.28750712294122654,0.687898299145491
eigenvector,0.7327422220339406,0.6862327882019914,0.6083602179313081,0.26769301590104644,0.7327422220339406,0.4693485165827145,0.28750712294122654,1.0,0.7568240395564657
share_monthly_network_flow,0.9370390854939677,0.9236290284131113,0.8909967508792566,0.6892048829868199,0.9370390854939677,0.7103774620986512,0.687898299145491,0.7568240395564657,1.0
