,node_throughput,total_voyages,total_route_exposure,total_degree,betweenness,pagerank,share_monthly_network_flow
node_throughput,1.0,0.9947146857996328,0.9765005677048785,0.8135687650985971,0.8803772960771878,0.7663408545839364,0.9715368447273395
total_voyages,0.9947146857996328,1.0,0.9844675439942706,0.832377280439462,0.8721538680359556,0.7661847045333869,0.9626470419578551
total_route_exposure,0.9765005677048785,0.9844675439942706,1.0,0.8378734113726474,0.8660319647274002,0.7647541788903607,0.9431597023960254
total_degree,0.8135687650985971,0.832377280439462,0.8378734113726474,1.0,0.7590001403058122,0.7354834221646356,0.7913437325432857
betweenness,0.8803772960771878,0.8721538680359556,0.8660319647274002,0.7590001403058122,1.0,0.8113413125085358,0.8781202457794354
pagerank,0.7663408545839364,0.7661847045333869,0.7647541788903607,0.7354834221646356,0.8113413125085358,1.0,0.8102199515899378
share_monthly_network_flow,0.9715368447273395,0.9626470419578551,0.9431597023960254,0.7913437325432857,0.8781202457794354,0.8102199515899378,1.0
