period_month,metric_a,metric_b,spearman_correlation
2020-05-01,total_route_exposure,betweenness,0.5384425215323841
2020-05-01,total_route_exposure,pagerank,0.9231851415012885
2020-05-01,total_route_exposure,share_monthly_network_flow,0.9840933797871176
2020-05-01,total_degree,betweenness,0.5744380142475706
2020-05-01,total_degree,pagerank,0.9264860702620036
2020-05-01,total_degree,share_monthly_network_flow,0.9663536489723444
2020-05-01,betweenness,pagerank,0.5484982001057511
2020-05-01,betweenness,share_monthly_network_flow,0.5173333829676425
2020-05-01,pagerank,share_monthly_network_flow,0.932421051947915
2020-06-01,node_throughput,total_voyages,0.9958430685433404
2020-06-01,node_throughput,total_route_exposure,0.9856253811379813
2020-06-01,node_throughput,total_degree,0.9727802083104261
2020-06-01,node_throughput,betweenness,0.5255032112073789
2020-06-01,node_throughput,pagerank,0.9367071646452645
2020-06-01,node_throughput,share_monthly_network_flow,1.0
2020-06-01,total_voyages,total_route_exposure,0.9900045863166655
2020-06-01,total_voyages,total_degree,0.9778178766672031
2020-06-01,total_voyages,betweenness,0.5268230011373888
2020-06-01,total_voyages,pagerank,0.9359192694861571
2020-06-01,total_voyages,share_monthly_network_flow,0.9958430685433404
2020-06-01,total_route_exposure,total_degree,0.9850908451366454
2020-06-01,total_route_exposure,betweenness,0.5530464664844043
2020-06-01,total_route_exposure,pagerank,0.937081808875249
2020-06-01,total_route_exposure,share_monthly_network_flow,0.9856253811379811
2020-06-01,total_degree,betweenness,0.59299738071937
2020-06-01,total_degree,pagerank,0.949490003953844
2020-06-01,total_degree,share_monthly_network_flow,0.9727802083104261
2020-06-01,betweenness,pagerank,0.5741225828165606
2020-06-01,betweenness,share_monthly_network_flow,0.5255032112073788
2020-06-01,pagerank,share_monthly_network_flow,0.9367071646452645
2020-07-01,node_throughput,total_voyages,0.9918141710289524
2020-07-01,node_throughput,total_route_exposure,0.9805544841607012
2020-07-01,node_throughput,total_degree,0.9658763085819402
2020-07-01,node_throughput,betweenness,0.4970398450322493
2020-07-01,node_throughput,pagerank,0.9274984840715937
2020-07-01,node_throughput,share_monthly_network_flow,0.9999999999999999
2020-07-01,total_voyages,total_route_exposure,0.9899089884344179
2020-07-01,total_voyages,total_degree,0.9743747623994519
2020-07-01,total_voyages,betweenness,0.49252537632366294
2020-07-01,total_voyages,pagerank,0.9240558790766883
2020-07-01,total_voyages,share_monthly_network_flow,0.9918141710289523
2020-07-01,total_route_exposure,total_degree,0.9845265251163741
2020-07-01,total_route_exposure,betweenness,0.5181334538848357
2020-07-01,total_route_exposure,pagerank,0.9206338695269561
2020-07-01,total_route_exposure,share_monthly_network_flow,0.9805544841607012
2020-07-01,total_degree,betweenness,0.5654996884479432
2020-07-01,total_degree,pagerank,0.9372613782442747
2020-07-01,total_degree,share_monthly_network_flow,0.9658763085819402
2020-07-01,betweenness,pagerank,0.5439102258824238
2020-07-01,betweenness,share_monthly_network_flow,0.49703984503224924
2020-07-01,pagerank,share_monthly_network_flow,0.9274984840715936
2020-08-01,node_throughput,total_voyages,0.9861831186625666
2020-08-01,node_throughput,total_route_exposure,0.9777443644875388
2020-08-01,node_throughput,total_degree,0.9584201275749221
2020-08-01,node_throughput,betweenness,0.5108319671289006
2020-08-01,node_throughput,pagerank,0.9308794358939353
2020-08-01,node_throughput,share_monthly_network_flow,1.0
2020-08-01,total_voyages,total_route_exposure,0.9894929285774791
2020-08-01,total_voyages,total_degree,0.9660210576805972
2020-08-01,total_voyages,betweenness,0.49220530416229724
2020-08-01,total_voyages,pagerank,0.926730063683303
2020-08-01,total_voyages,share_monthly_network_flow,0.9861831186625665
2020-08-01,total_route_exposure,total_degree,0.9751757789140849
2020-08-01,total_route_exposure,betweenness,0.49889142133357456
2020-08-01,total_route_exposure,pagerank,0.9260374767020197
2020-08-01,total_route_exposure,share_monthly_network_flow,0.9777443644875388
2020-08-01,total_degree,betweenness,0.5822954548788856
2020-08-01,total_degree,pagerank,0.9437365589936192
2020-08-01,total_degree,share_monthly_network_flow,0.9584201275749221
2020-08-01,betweenness,pagerank,0.544477577468142
2020-08-01,betweenness,share_monthly_network_flow,0.5108319671289006
2020-08-01,pagerank,share_monthly_network_flow,0.9308794358939353
2020-09-01,node_throughput,total_voyages,0.9907353947836073
2020-09-01,node_throughput,total_route_exposure,0.98675280470265
2020-09-01,node_throughput,total_degree,0.9695625378941555
2020-09-01,node_throughput,betweenness,0.5362242989548791
2020-09-01,node_throughput,pagerank,0.9304531454561483
2020-09-01,node_throughput,share_monthly_network_flow,1.0
2020-09-01,total_voyages,total_route_exposure,0.9960874498975699
2020-09-01,total_voyages,total_degree,0.9784879984265713
2020-09-01,total_voyages,betweenness,0.5379242268968843
2020-09-01,total_voyages,pagerank,0.9281419976048175
2020-09-01,total_voyages,share_monthly_network_flow,0.9907353947836073
2020-09-01,total_route_exposure,total_degree,0.981714711668829
2020-09-01,total_route_exposure,betweenness,0.548450584996339
2020-09-01,total_route_exposure,pagerank,0.927164392824078
2020-09-01,total_route_exposure,share_monthly_network_flow,0.98675280470265
2020-09-01,total_degree,betweenness,0.5666913064596648
2020-09-01,total_degree,pagerank,0.9350780091688012
2020-09-01,total_degree,share_monthly_network_flow,0.9695625378941555
2020-09-01,betweenness,pagerank,0.563678567069192
2020-09-01,betweenness,share_monthly_network_flow,0.5362242989548791
2020-09-01,pagerank,share_monthly_network_flow,0.9304531454561483
2020-10-01,node_throughput,total_voyages,0.9917845578104423
2020-10-01,node_throughput,total_route_exposure,0.9857224019935509
2020-10-01,node_throughput,total_degree,0.9667063670854228
2020-10-01,node_throughput,betweenness,0.5152126851068419
2020-10-01,node_throughput,pagerank,0.9374601193389314
2020-10-01,node_throughput,share_monthly_network_flow,0.9999999999999999
2020-10-01,total_voyages,total_route_exposure,0.9933446158792703
2020-10-01,total_voyages,total_degree,0.9743352343002674
2020-10-01,total_voyages,betweenness,0.5124038038734022
2020-10-01,total_voyages,pagerank,0.9306059191868526
2020-10-01,total_voyages,share_monthly_network_flow,0.9917845578104423
2020-10-01,total_route_exposure,total_degree,0.982540653800702
2020-10-01,total_route_exposure,betweenness,0.5242488258104085
2020-10-01,total_route_exposure,pagerank,0.9242038460314443
2020-10-01,total_route_exposure,share_monthly_network_flow,0.985722401993551
2020-10-01,total_degree,betweenness,0.556430311664684
2020-10-01,total_degree,pagerank,0.9350882612078347
2020-10-01,total_degree,share_monthly_network_flow,0.9667063670854227
2020-10-01,betweenness,pagerank,0.5481944502705112
2020-10-01,betweenness,share_monthly_network_flow,0.5152126851068418
2020-10-01,pagerank,share_monthly_network_flow,0.9374601193389314
2020-11-01,node_throughput,total_voyages,0.989546289538298
2020-11-01,node_throughput,total_route_exposure,0.9856705087344754
2020-11-01,node_throughput,total_degree,0.9700149509399258
2020-11-01,node_throughput,betweenness,0.5309513868082754
2020-11-01,node_throughput,pagerank,0.923923687775701
2020-11-01,node_throughput,share_monthly_network_flow,1.0
2020-11-01,total_voyages,total_route_exposure,0.9945086027920182
2020-11-01,total_voyages,total_degree,0.9792050830364815
2020-11-01,total_voyages,betweenness,0.5335300786191711
2020-11-01,total_voyages,pagerank,0.9172615559604455
2020-11-01,total_voyages,share_monthly_network_flow,0.9895462895382979
2020-11-01,total_route_exposure,total_degree,0.9837121326194318
2020-11-01,total_route_exposure,betweenness,0.5459018333490232
2020-11-01,total_route_exposure,pagerank,0.9204502164312154
2020-11-01,total_route_exposure,share_monthly_network_flow,0.9856705087344754
2020-11-01,total_degree,betweenness,0.5730966134804114
2020-11-01,total_degree,pagerank,0.9230906284095414
2020-11-01,total_degree,share_monthly_network_flow,0.9700149509399258
2020-11-01,betweenness,pagerank,0.5612339721537971
2020-11-01,betweenness,share_monthly_network_flow,0.5309513868082755
2020-11-01,pagerank,share_monthly_network_flow,0.923923687775701
2020-12-01,node_throughput,total_voyages,0.9905217416479896
2020-12-01,node_throughput,total_route_exposure,0.9891821319264265
2020-12-01,node_throughput,total_degree,0.9752722051208154
2020-12-01,node_throughput,betweenness,0.5149811659107656
2020-12-01,node_throughput,pagerank,0.9319980304978195
2020-12-01,node_throughput,share_monthly_network_flow,0.9999999999999999
2020-12-01,total_voyages,total_route_exposure,0.9905737966519461
2020-12-01,total_voyages,total_degree,0.9797562844187848
2020-12-01,total_voyages,betweenness,0.5168291349365316
2020-12-01,total_voyages,pagerank,0.9304878758247804
2020-12-01,total_voyages,share_monthly_network_flow,0.9905217416479896
2020-12-01,total_route_exposure,total_degree,0.9831617981585576
2020-12-01,total_route_exposure,betweenness,0.5362646189313857
2020-12-01,total_route_exposure,pagerank,0.9360850112763841
2020-12-01,total_route_exposure,share_monthly_network_flow,0.9891821319264266
2020-12-01,total_degree,betweenness,0.5758527769085461
2020-12-01,total_degree,pagerank,0.9451722456905278
2020-12-01,total_degree,share_monthly_network_flow,0.9752722051208154
2020-12-01,betweenness,pagerank,0.5580921814671419
2020-12-01,betweenness,share_monthly_network_flow,0.5149811659107655
2020-12-01,pagerank,share_monthly_network_flow,0.9319980304978195
2021-01-01,node_throughput,total_voyages,0.9982740794320104
2021-01-01,node_throughput,total_route_exposure,0.9931122810025957
2021-01-01,node_throughput,total_degree,0.9837670091933747
2021-01-01,node_throughput,betweenness,0.5293027276822528
2021-01-01,node_throughput,pagerank,0.9445184168652039
2021-01-01,node_throughput,share_monthly_network_flow,1.0
2021-01-01,total_voyages,total_route_exposure,0.9955777577919199
2021-01-01,total_voyages,total_degree,0.9867878102184515
2021-01-01,total_voyages,betweenness,0.5266341562065944
2021-01-01,total_voyages,pagerank,0.9437957839252641
2021-01-01,total_voyages,share_monthly_network_flow,0.9982740794320104
2021-01-01,total_route_exposure,total_degree,0.9866809469485532
2021-01-01,total_route_exposure,betweenness,0.5231484255062792
2021-01-01,total_route_exposure,pagerank,0.9418141715666227
2021-01-01,total_route_exposure,share_monthly_network_flow,0.9931122810025956
2021-01-01,total_degree,betweenness,0.5645895782568411
2021-01-01,total_degree,pagerank,0.9503185980662432
2021-01-01,total_degree,share_monthly_network_flow,0.9837670091933747
2021-01-01,betweenness,pagerank,0.552414655711314
2021-01-01,betweenness,share_monthly_network_flow,0.5293027276822528
2021-01-01,pagerank,share_monthly_network_flow,0.9445184168652039
2021-02-01,node_throughput,total_voyages,0.9886586346269916
2021-02-01,node_throughput,total_route_exposure,0.984767365808844
2021-02-01,node_throughput,total_degree,0.9676317755234453
2021-02-01,node_throughput,betweenness,0.4540082397513477
2021-02-01,node_throughput,pagerank,0.9132240869024856
2021-02-01,node_throughput,share_monthly_network_flow,0.9999999999999999
2021-02-01,total_voyages,total_route_exposure,0.993484204242732
2021-02-01,total_voyages,total_degree,0.9760419787505326
2021-02-01,total_voyages,betweenness,0.4525622315838781
2021-02-01,total_voyages,pagerank,0.9106172139434613
2021-02-01,total_voyages,share_monthly_network_flow,0.9886586346269917
2021-02-01,total_route_exposure,total_degree,0.9814580231622169
2021-02-01,total_route_exposure,betweenness,0.4650277386494423
2021-02-01,total_route_exposure,pagerank,0.9102246499824005
2021-02-01,total_route_exposure,share_monthly_network_flow,0.984767365808844
2021-02-01,total_degree,betweenness,0.5478138449719951
2021-02-01,total_degree,pagerank,0.9230289008415488
2021-02-01,total_degree,share_monthly_network_flow,0.9676317755234453
2021-02-01,betweenness,pagerank,0.5270024097646457
2021-02-01,betweenness,share_monthly_network_flow,0.4540082397513477
2021-02-01,pagerank,share_monthly_network_flow,0.9132240869024856
2021-03-01,node_throughput,total_voyages,0.9891477904210444
2021-03-01,node_throughput,total_route_exposure,0.9818994509499008
2021-03-01,node_throughput,total_degree,0.957023897225648
2021-03-01,node_throughput,betweenness,0.5080978898708558
2021-03-01,node_throughput,pagerank,0.9094244172456091
2021-03-01,node_throughput,share_monthly_network_flow,0.9999999999999999
2021-03-01,total_voyages,total_route_exposure,0.9879084304325177
2021-03-01,total_voyages,total_degree,0.9642188752380734
2021-03-01,total_voyages,betweenness,0.5025399654252422
2021-03-01,total_voyages,pagerank,0.9010218385348504
2021-03-01,total_voyages,share_monthly_network_flow,0.9891477904210444
2021-03-01,total_route_exposure,total_degree,0.9717114192138566
2021-03-01,total_route_exposure,betweenness,0.5213199516879473
2021-03-01,total_route_exposure,pagerank,0.8992895132911278
2021-03-01,total_route_exposure,share_monthly_network_flow,0.9818994509499009
2021-03-01,total_degree,betweenness,0.5635446243775845
2021-03-01,total_degree,pagerank,0.9149323295728586
2021-03-01,total_degree,share_monthly_network_flow,0.957023897225648
2021-03-01,betweenness,pagerank,0.5423584379979038
2021-03-01,betweenness,share_monthly_network_flow,0.5080978898708557
2021-03-01,pagerank,share_monthly_network_flow,0.9094244172456092
2021-04-01,node_throughput,total_voyages,0.9923199374204524
2021-04-01,node_throughput,total_route_exposure,0.9891993461819094
2021-04-01,node_throughput,total_degree,0.9744787595512758
2021-04-01,node_throughput,betweenness,0.5223857320669493
2021-04-01,node_throughput,pagerank,0.9269459427431999
2021-04-01,node_throughput,share_monthly_network_flow,1.0
2021-04-01,total_voyages,total_route_exposure,0.9923163460871298
2021-04-01,total_voyages,total_degree,0.9788867841359968
2021-04-01,total_voyages,betweenness,0.523198706400131
2021-04-01,total_voyages,pagerank,0.9219698740714061
2021-04-01,total_voyages,share_monthly_network_flow,0.9923199374204523
2021-04-01,total_route_exposure,total_degree,0.9844114963797346
2021-04-01,total_route_exposure,betweenness,0.5290616159258397
2021-04-01,total_route_exposure,pagerank,0.9205597417994267
2021-04-01,total_route_exposure,share_monthly_network_flow,0.9891993461819095
2021-04-01,total_degree,betweenness,0.5533127006943973
2021-04-01,total_degree,pagerank,0.9227463360576902
2021-04-01,total_degree,share_monthly_network_flow,0.9744787595512757
2021-04-01,betweenness,pagerank,0.5496627547738142
2021-04-01,betweenness,share_monthly_network_flow,0.5223857320669493
2021-04-01,pagerank,share_monthly_network_flow,0.9269459427431999
2021-05-01,node_throughput,total_voyages,0.9885874721224871
2021-05-01,node_throughput,total_route_exposure,0.981137198568902
2021-05-01,node_throughput,total_degree,0.9619703969535768
2021-05-01,node_throughput,betweenness,0.491647254446268
2021-05-01,node_throughput,pagerank,0.9033968043295292
2021-05-01,node_throughput,share_monthly_network_flow,1.0
2021-05-01,total_voyages,total_route_exposure,0.9914416163512972
2021-05-01,total_voyages,total_degree,0.9726405914633903
2021-05-01,total_voyages,betweenness,0.49810540898691796
2021-05-01,total_voyages,pagerank,0.9004822794675141
2021-05-01,total_voyages,share_monthly_network_flow,0.9885874721224871
2021-05-01,total_route_exposure,total_degree,0.9768779898428518
2021-05-01,total_route_exposure,betweenness,0.5136764143840928
2021-05-01,total_route_exposure,pagerank,0.8959235117442272
2021-05-01,total_route_exposure,share_monthly_network_flow,0.981137198568902
2021-05-01,total_degree,betweenness,0.5566944064511917
2021-05-01,total_degree,pagerank,0.9154885760443616
2021-05-01,total_degree,share_monthly_network_flow,0.9619703969535768
2021-05-01,betweenness,pagerank,0.5300736979137636
2021-05-01,betweenness,share_monthly_network_flow,0.491647254446268
2021-05-01,pagerank,share_monthly_network_flow,0.9033968043295292
2021-06-01,node_throughput,total_voyages,0.992379505625307
2021-06-01,node_throughput,total_route_exposure,0.9832492425433799
2021-06-01,node_throughput,total_degree,0.9645457548394927
2021-06-01,node_throughput,betweenness,0.5257754739615802
2021-06-01,node_throughput,pagerank,0.9110957356569105
2021-06-01,node_throughput,share_monthly_network_flow,1.0
2021-06-01,total_voyages,total_route_exposure,0.9930594348075835
2021-06-01,total_voyages,total_degree,0.9736702125608561
2021-06-01,total_voyages,betweenness,0.5178188672011074
2021-06-01,total_voyages,pagerank,0.9048723984512899
2021-06-01,total_voyages,share_monthly_network_flow,0.9923795056253071
2021-06-01,total_route_exposure,total_degree,0.9796725422729936
2021-06-01,total_route_exposure,betweenness,0.5258005460289805
2021-06-01,total_route_exposure,pagerank,0.9025219268143294
2021-06-01,total_route_exposure,share_monthly_network_flow,0.9832492425433799
2021-06-01,total_degree,betweenness,0.5727329958662257
2021-06-01,total_degree,pagerank,0.9058325133860999
2021-06-01,total_degree,share_monthly_network_flow,0.9645457548394927
2021-06-01,betweenness,pagerank,0.5560608617048688
2021-06-01,betweenness,share_monthly_network_flow,0.5257754739615802
