,node_throughput,total_voyages,total_route_exposure,total_degree,betweenness,pagerank,share_monthly_network_flow
node_throughput,1.0,0.9891980219907386,0.9801394817295367,0.9612160178544568,,0.8894342805327324,0.9924202610946845
total_voyages,0.9891980219907386,1.0,0.9878265165823317,0.9707914646102643,,0.8840917427686212,0.9838823167798643
total_route_exposure,0.9801394817295367,0.9878265165823317,1.0,0.979287480735001,,0.8789556731014486,0.9754211487664673
total_degree,0.9612160178544568,0.9707914646102643,0.979287480735001,1.0,,0.8786212461569802,0.9577771769116237
betweenness,,,,,,,
pagerank,0.8894342805327324,0.8840917427686212,0.8789556731014486,0.8786212461569802,,1.0,0.9046733223359472
share_monthly_network_flow,0.9924202610946845,0.9838823167798643,0.9754211487664673,0.9577771769116237,,0.9046733223359472,1.0
