period_month,entity_level,role,entities,total_throughput
2022-03-01,terminal,exporter,20,28304905
2022-03-01,terminal,importer,52,28304905
2022-03-01,terminal,inactive,87,0
2022-04-01,country,inactive,24,0
2022-04-01,country,net_exporter,10,28831590
2022-04-01,country,net_importer,22,28831590
2022-04-01,terminal,exporter,19,28831590
2022-04-01,terminal,importer,47,28831590
2022-04-01,terminal,inactive,93,0
2022-05-01,country,inactive,20,0
2022-05-01,country,net_exporter,12,28142410
2022-05-01,country,net_importer,24,28142410
2022-05-01,terminal,exporter,23,28142410
2022-05-01,terminal,importer,50,28142410
2022-05-01,terminal,inactive,86,0
2022-06-01,country,inactive,20,0
2022-06-01,country,net_exporter,13,26076970
2022-06-01,country,net_importer,23,25800730
2022-06-01,terminal,exporter,24,25938850
2022-06-01,terminal,importer,57,25938850
2022-06-01,terminal,inactive,78,0
2022-07-01,country,inactive,19,0
2022-07-01,country,net_exporter,14,27381802
2022-07-01,country,net_importer,23,26637402
2022-07-01,terminal,exporter,22,27009602
2022-07-01,terminal,importer,54,27009602
2022-07-01,terminal,inactive,83,0
2022-08-01,country,inactive,18,0
2022-08-01,country,net_exporter,14,26787226
2022-08-01,country,net_importer,24,26510986
2022-08-01,terminal,exporter,21,26649106
2022-08-01,terminal,importer,56,26649106
2022-08-01,terminal,inactive,82,0
2022-09-01,country,inactive,21,0
2022-09-01,country,net_exporter,14,23732136
2022-09-01,country,net_importer,21,23732136
2022-09-01,terminal,exporter,23,23732136
2022-09-01,terminal,importer,55,23732136
2022-09-01,terminal,inactive,81,0
2022-10-01,country,inactive,19,0
2022-10-01,country,net_exporter,14,28547247
2022-10-01,country,net_importer,23,28209909
2022-10-01,terminal,exporter,23,28378578
2022-10-01,terminal,importer,60,28378578
2022-10-01,terminal,inactive,76,0
2022-11-01,country,inactive,19,0
2022-11-01,country,net_exporter,15,28718253
2022-11-01,country,net_importer,22,28682253
2022-11-01,terminal,exporter,24,28700253
2022-11-01,terminal,importer,56,28700253
2022-11-01,terminal,inactive,79,0
2022-12-01,country,inactive,20,0
2022-12-01,country,net_exporter,14,29279060
2022-12-01,country,net_importer,22,28859060
2022-12-01,terminal,exporter,24,29069060
2022-12-01,terminal,importer,54,29069060
2022-12-01,terminal,inactive,81,0
2023-01-01,country,inactive,20,0
2023-01-01,country,net_exporter,13,28429181
2023-01-01,country,net_importer,23,28107003
2023-01-01,terminal,exporter,22,28268092
2023-01-01,terminal,importer,54,28268092
2023-01-01,terminal,inactive,83,0
2023-02-01,country,inactive,13,0
2023-02-01,country,net_exporter,15,32271253
2023-02-01,country,net_importer,28,32004665
2023-02-01,terminal,exporter,28,32137959
2023-02-01,terminal,importer,62,32137959
2023-02-01,terminal,inactive,69,0
2023-03-01,country,inactive,11,0
2023-03-01,country,net_exporter,16,35746784
2023-03-01,country,net_importer,29,34579984
2023-03-01,terminal,exporter,29,36087484
2023-03-01,terminal,importer,66,36087484
2023-03-01,terminal,inactive,64,0
2023-04-01,country,inactive,13,0
2023-04-01,country,net_exporter,13,33169481
2023-04-01,country,net_importer,30,33697481
2023-04-01,terminal,exporter,25,33706754
2023-04-01,terminal,importer,69,33706754
2023-04-01,terminal,inactive,65,0
2023-05-01,country,inactive,13,0
2023-05-01,country,net_exporter,13,34547451
2023-05-01,country,net_importer,30,34459599
2023-05-01,terminal,exporter,27,34638525
2023-05-01,terminal,importer,69,34638525
2023-05-01,terminal,inactive,63,0
2023-06-01,country,inactive,11,0
2023-06-01,country,net_exporter,15,30562826
2023-06-01,country,net_importer,30,30513826
2023-06-01,terminal,exporter,27,30845426
2023-06-01,terminal,importer,64,30845426
2023-06-01,terminal,inactive,68,0
2023-07-01,country,inactive,15,0
2023-07-01,country,net_exporter,12,29838378
2023-07-01,country,net_importer,29,30060522
2023-07-01,terminal,exporter,26,30129450
2023-07-01,terminal,importer,63,30129450
2023-07-01,terminal,inactive,70,0
2023-08-01,country,inactive,15,0
2023-08-01,country,net_exporter,15,28868398
2023-08-01,country,net_importer,26,27966276
2023-08-01,terminal,exporter,23,28552337
2023-08-01,terminal,importer,59,28552337
2023-08-01,terminal,inactive,77,0
2023-09-01,country,inactive,12,0
2023-09-01,country,net_exporter,16,30457793
2023-09-01,country,net_importer,28,30457793
2023-09-01,terminal,exporter,27,31048066
2023-09-01,terminal,importer,64,31048066
2023-09-01,terminal,inactive,68,0
2023-10-01,country,inactive,18,0
2023-10-01,country,net_exporter,11,37368164
2023-10-01,country,net_importer,27,37640164
2023-10-01,terminal,exporter,26,37732437
2023-10-01,terminal,importer,67,37732437
2023-10-01,terminal,inactive,66,0
2023-11-01,country,inactive,11,0
2023-11-01,country,net_exporter,15,33112321
2023-11-01,country,net_importer,30,33687563
2023-11-01,terminal,exporter,31,33538215
2023-11-01,terminal,importer,69,33538215
2023-11-01,terminal,inactive,59,0
2023-12-01,country,inactive,11,0
2023-12-01,country,net_exporter,15,39153009
2023-12-01,country,net_importer,30,37231663
2023-12-01,terminal,exporter,28,38768381
2023-12-01,terminal,importer,77,38768381
2023-12-01,terminal,inactive,54,0
2024-01-01,country,inactive,7,0
2024-01-01,country,net_exporter,14,34756252
2024-01-01,country,net_importer,35,34722292
2024-01-01,terminal,exporter,29,35284545
2024-01-01,terminal,importer,73,35284545
2024-01-01,terminal,inactive,57,0
2024-02-01,country,inactive,12,0
2024-02-01,country,net_exporter,14,34550077
2024-02-01,country,net_importer,30,33457091
2024-02-01,terminal,exporter,29,34218584
2024-02-01,terminal,importer,69,34218584
2024-02-01,terminal,inactive,61,0
2024-03-01,country,inactive,15,0
2024-03-01,country,net_exporter,14,33348725
2024-03-01,country,net_importer,27,32642407
2024-03-01,terminal,exporter,28,33211928
2024-03-01,terminal,importer,68,33211928
2024-03-01,terminal,inactive,63,0
2024-04-01,country,inactive,13,0
2024-04-01,country,net_exporter,16,32109569
2024-04-01,country,net_importer,27,31165851
2024-04-01,terminal,exporter,31,31834679
2024-04-01,terminal,importer,69,31834679
2024-04-01,terminal,inactive,59,0
2024-05-01,country,inactive,17,0
